,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
5,1511008455708098570,john__rosevear,1649087463000.0,2022-04-04 23:51:03,"Concept is a ""collaboration with Italdesign, which is owned by VW Group (Lamborghini and Audi specifically.) Hmm.",en,[],[],https://twitter.com/john__rosevear/status/1511008455708098570,[],[],0,,1,0,0
7,1511002971294912515,AudiNews,1649086156000.0,2022-04-04 23:29:16,Audi of America 2022 first-quarter business update  https://t.co/NiyYDUyU1B,en,[],[],https://twitter.com/AudiNews/status/1511002971294912515,['https://bddy.me/38rlS4l'],[],0,,1,0,0
8,1510996479380492293,therealautoblog,1649084608000.0,2022-04-04 23:03:28,Audi recalls performance cars to address turbo oiling issue:  https://t.co/v2QF4qdkV4  https://t.co/xBnmv0pNva,en,[],[],https://twitter.com/therealautoblog/status/1510996479380492293,['https://bit.ly/3j4clSI'],['https://pbs.twimg.com/media/FPgjSNhWQAE6jXn.jpg'],1,https://pbs.twimg.com/media/FPgjSNhWQAE6jXn.jpg,9,1,1
11,1510985800707629060,WashSpirit,1649082062000.0,2022-04-04 22:21:02,"First dub of the year!   Audi Field sounded great yesterday, let’s do it again on May 1 👊🏻  https://t.co/bXf2gCU3TV  https://t.co/zJj9lzjtu6",en,[],[],https://twitter.com/WashSpirit/status/1510985800707629060,['https://washingtonspirit.com/single-match-tickets/'],[],1,https://pbs.twimg.com/amplify_video_thumb/1510985351095066628/img/PoADw5pwkc_140tZ.jpg,71,0,4
15,1510981083839537159,AudiOfficial,1649080937000.0,2022-04-04 22:02:17,Audi A8 L: Combined fuel consumption in l/100 km: 10.8-8.2; combined CO2 emissions in g/km: 248-187. // Further information:  https://t.co/FlAgb9gXCP,en,[],[],https://twitter.com/AudiOfficial/status/1510981083839537159,['http://www.audi.com/dat'],[],0,,13,1,1
16,1510981079175503878,AudiOfficial,1649080936000.0,2022-04-04 22:02:16,"Illuminating progress. Join us as we talk to Dr. Michael Kruppa, Audi’s Head of Light Innovation to discuss the progressive lighting features of the new Audi A8.  Watch the full interview here:  https://t.co/oP8fIxepob  #Audi #AudiA8 #FutureIsAnAttitude  https://t.co/tTzxFY4Q25",en,"['audi', 'audia8', 'futureisanattitude']",[],https://twitter.com/AudiOfficial/status/1510981079175503878,['https://youtu.be/tox-voVUMDM'],[],1,https://pbs.twimg.com/media/FPgVj92X0AUZXe0.jpg,63,1,8
19,1510958371335254019,GregorSch5,1649075522000.0,2022-04-04 20:32:02,Audi be like:  https://t.co/yaiNS2p0wE,en,[],[],https://twitter.com/GregorSch5/status/1510958371335254019,[],['https://pbs.twimg.com/tweet_video_thumb/FPgAoGIWYAg4myB.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FPgAoGIWYAg4myB.jpg,1,0,0
23,1510951873959940096,audisport,1649073973000.0,2022-04-04 20:06:13,MEDIAINFO: Audi Sport customer racing newsletter: Dream weekend for Audi customers at Imola  &gt;&gt;  https://t.co/5dY7hr5wm0  #PerformanceIsAnAttitude #GT3 #GT2 #GT4 #TCR  https://t.co/FmKcW47KqW,en,"['performanceisanattitude', 'gt3', 'gt2', 'gt4', 'tcr']",[],https://twitter.com/audisport/status/1510951873959940096,['http://bit.ly/3J5BNBZ'],['https://pbs.twimg.com/media/FPf6TlUXoAw6Ls2.jpg'],1,https://pbs.twimg.com/media/FPf6TlUXoAw6Ls2.jpg,78,0,10
34,1510934218326507522,AutoNewsEurope,1649069764000.0,2022-04-04 18:56:04,"VW halts output at plant that builds Porsche, Audi, and VW SUVs  https://t.co/1hGpmERT9Q  https://t.co/PHqVJ8aQ8r",en,[],[],https://twitter.com/AutoNewsEurope/status/1510934218326507522,['http://dlvr.it/SMwsKz'],['https://pbs.twimg.com/media/FPfqqjKVgAcIK-2.jpg'],1,https://pbs.twimg.com/media/FPfqqjKVgAcIK-2.jpg,0,0,0
35,1510926175320764418,AZERTAC,1649067846000.0,2022-04-04 18:24:06,"VW to give green light for Audi, Porsche to enter F1  https://t.co/jn24BoLij5 #Azerbaijan  https://t.co/a0Ylk4ZVaU",en,['azerbaijan'],[],https://twitter.com/AZERTAC/status/1510926175320764418,['https://azertag.az/en/xeber/VW_to_give_green_light_for_Audi_Porsche_to_enter_F1-2078003?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FPfjWXtUYAQePRH.jpg'],1,https://pbs.twimg.com/media/FPfjWXtUYAQePRH.jpg,0,0,0
