,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
1,1511010218142052357,luxury,1649087883000.0,2022-04-04 23:58:03,Maserati announces it will offer electric versions of all its cars by 2025  https://t.co/lH6bAhGIqv,en,[],[],https://twitter.com/luxury/status/1511010218142052357,['https://trib.al/aOHwH02'],[],0,,1,0,0
2,1510999382337810435,therealautoblog,1649085300000.0,2022-04-04 23:15:00,Electric Maserati Grecale Folgore will have over 500 horsepower:  https://t.co/WHJ7aY83Fw  https://t.co/yn0LolQoft,en,[],[],https://twitter.com/therealautoblog/status/1510999382337810435,['https://bit.ly/3u4pB04'],['https://pbs.twimg.com/media/FPglQpSWQAQC_9S.jpg'],1,https://pbs.twimg.com/media/FPglQpSWQAQC_9S.jpg,8,0,1
3,1510970944382124036,therealautoblog,1649078520000.0,2022-04-04 21:22:00,Why Maserati won't share the Nettuno V6 with its siblings:  https://t.co/PIwwH0fLZj  https://t.co/Gdw1fLCcxj,en,[],[],https://twitter.com/therealautoblog/status/1510970944382124036,['https://bit.ly/3uWYDH3'],['https://pbs.twimg.com/media/FPgKp-QWUAQKuA7.jpg'],1,https://pbs.twimg.com/media/FPgKp-QWUAQKuA7.jpg,8,0,2
4,1510959806110121985,Maserati_HQ,1649075864000.0,2022-04-04 20:37:44,"Framing beauty. At times you have to search for it, other times it's right in front of you. Moral of the story? When you spot a Maserati, share it with the hashtag #MaseratiMonday. #MaseratiGrecale #EverydayExceptional  https://t.co/YdDzLnDddo",en,"['maseratimonday', 'maseratigrecale', 'everydayexceptional']",[],https://twitter.com/Maserati_HQ/status/1510959806110121985,[],['https://pbs.twimg.com/media/FPgBHkTXMAU7bTv.jpg'],1,https://pbs.twimg.com/media/FPgBHkTXMAU7bTv.jpg,112,2,10
5,1510924562137067523,AdamHayNicholls,1649067461000.0,2022-04-04 18:17:41,I’ve driven the new Maserati Grecale to an Autogrill with a chandelier. @MaseratiGB  https://t.co/bTSRhnEy2C,en,[],[],https://twitter.com/AdamHayNicholls/status/1510924562137067523,[],"['https://pbs.twimg.com/media/FPfh3vMWYAIZ2WZ.jpg', 'https://pbs.twimg.com/media/FPfh3vMXMAUekpa.jpg']",1,https://pbs.twimg.com/media/FPfh3vMWYAIZ2WZ.jpg,1,0,0
10,1510741959438184448,luxury,1649023926000.0,2022-04-04 06:12:06,The new Maserati Grecale SUV adds fresh competition to the Porsche Macan and Mercedes GLE  https://t.co/qD8UbrQkkp,en,[],[],https://twitter.com/luxury/status/1510741959438184448,['https://trib.al/su8ghJG'],[],0,,0,0,1
11,1510708723391639564,ForbesLife,1649016001000.0,2022-04-04 04:00:01,"Maserati has revealed details of its second SUV, the compact Grecale, with the design taking cues from the pinnacle MC20 supercar:  https://t.co/N6K3KGXxmc  https://t.co/2d8tMP7V4q",en,[],[],https://twitter.com/ForbesLife/status/1510708723391639564,['http://on.forbes.com/6018KaHQs'],['https://pbs.twimg.com/media/FPcdk8SXsAcQDSc.jpg'],1,https://pbs.twimg.com/media/FPcdk8SXsAcQDSc.jpg,2,0,0
18,1510688835272728578,CARmagazine,1649011260000.0,2022-04-04 02:41:00,Has Maserati found its feet again with the MC20? #Maserati  https://t.co/XQDysuusK2,en,['maserati'],[],https://twitter.com/CARmagazine/status/1510688835272728578,[],[],1,https://pbs.twimg.com/media/FLPjRchUcAUoNFu.jpg,24,0,1
19,1510663572900171787,CARandDRIVER,1649005237000.0,2022-04-04 01:00:37,".@Maserati_HQ GranTurismo Folgore EV claims 1200 hp, 186 mph top speed:  https://t.co/Aqb97ry46o  https://t.co/MgsSoCivth",en,[],[],https://twitter.com/CARandDRIVER/status/1510663572900171787,['http://crdrv.co/RsIopJn'],['https://pbs.twimg.com/media/FPb0g3-XsAYyRC3.jpg'],1,https://pbs.twimg.com/media/FPb0g3-XsAYyRC3.jpg,79,1,5
21,1510633231900569615,Maserati_HQ,1648998003000.0,2022-04-03 23:00:03,"#MaseratiGrecale Primaserie: a limited edition featuring premium technology, striking exteriors and luxurious interiors. ​ Ciao, Grecale. ​ #EverydayExceptional  https://t.co/o4nsQNohZx",en,"['maseratigrecale', 'everydayexceptional']",[],https://twitter.com/Maserati_HQ/status/1510633231900569615,[],"['https://pbs.twimg.com/media/FPbY6gxVIAcjAj0.jpg', 'https://pbs.twimg.com/media/FPbY6iRVEAIH2YS.jpg']",1,https://pbs.twimg.com/media/FPbY6gxVIAcjAj0.jpg,692,13,73
26,1510602516404355086,therealautoblog,1648990680000.0,2022-04-03 20:58:00,2023 Maserati Grecale revealed with 523-hp twin-turbo V6:  https://t.co/bIhXW0bxFx  https://t.co/7cSeRXuJeP,en,[],[],https://twitter.com/therealautoblog/status/1510602516404355086,['https://bit.ly/3wsHcAb'],"['https://pbs.twimg.com/media/FPNGUymWQAMllDr.jpg', 'https://pbs.twimg.com/media/FPNGUynWUAYKSwY.jpg', 'https://pbs.twimg.com/media/FPNGUymWUAwA3xu.jpg', 'https://pbs.twimg.com/media/FPNGUykXsAYIa6e.jpg']",1,https://pbs.twimg.com/media/FPNGUymWQAMllDr.jpg,34,0,3
27,1510587937074860037,BBC_TopGear,1648987204000.0,2022-04-03 20:00:04,"Maserati’s take on the ubiquitous medium-sized SUV hits plenty of targets, yet feels like a car designed to do just that. Maserati Grecale review →  https://t.co/Qno1a4WrIn  https://t.co/XjncOEiSh2",en,[],[],https://twitter.com/BBC_TopGear/status/1510587937074860037,['https://www.topgear.com/car-reviews/maserati/grecale'],['https://pbs.twimg.com/media/FPavuK0XEAEAmNk.jpg'],1,https://pbs.twimg.com/media/FPavuK0XEAEAmNk.jpg,88,5,10
