,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
1,1511023561141637128,MercedesBenz,1649091065000.0,2022-04-05 00:51:05,@SoorenaI Please stay tuned! 😊,en,[],[],https://twitter.com/MercedesBenz/status/1511023561141637128,[],[],0,,0,0,0
9,1511012450669277193,LadyViii,1649088416000.0,2022-04-05 00:06:56,@AmethystDigits @asvpxrocky @awge @MercedesBenz @viiisports Thank you so much!,en,[],[],https://twitter.com/LadyViii/status/1511012450669277193,[],[],0,,1,0,0
13,1511009752632987650,therealautoblog,1649087772000.0,2022-04-04 23:56:12,Mercedes recalls new models to address hands-free sensor defect:  https://t.co/kD3TAMiz61  https://t.co/WC3YXGml9S,en,[],[],https://twitter.com/therealautoblog/status/1511009752632987650,['https://bit.ly/3J8vZaE'],['https://pbs.twimg.com/media/FPgvW6rXEAIz3TG.jpg'],1,https://pbs.twimg.com/media/FPgvW6rXEAIz3TG.jpg,7,1,2
14,1511003572615405581,ABCWorldNews,1649086299000.0,2022-04-04 23:31:39,"BMW has halted production at two German factories. Mercedes is slowing work at its assembly plants. Volkswagen, warning of production stoppages, is looking for alternative sources for parts.  https://t.co/MDZrN1vBzz",en,[],[],https://twitter.com/ABCWorldNews/status/1511003572615405581,['https://abcn.ws/3J8G4oi'],[],0,,19,9,7
15,1511002819838582792,FelipeCar,1649086119000.0,2022-04-04 23:28:39,Atlanta United will play @Tuzos at Mercedes Benz Stadium on June 14.   Good prep for 2023 Leagues Cup. Expect to see more these friendlies in the future.,en,[],[],https://twitter.com/FelipeCar/status/1511002819838582792,[],[],0,,35,2,1
18,1510996560204775433,NorthamptonUK,1649084627000.0,2022-04-04 23:03:47,His silver Mercedes C180 was travelling on the A45 west slip road towards the Riverside roundabout   https://t.co/Cgm0DgeV9h,en,[],[],https://twitter.com/NorthamptonUK/status/1510996560204775433,['https://www.northantslive.news/news/northamptonshire-news/man-87-dies-northampton-a45-6903341'],[],0,,0,0,0
20,1510993972335812616,MandelSun,1649084010000.0,2022-04-04 22:53:30,"#BREAKING - Speeding teen driver C.Z. sentenced to a year in open custody and six-year driving ban after pleading guilty to killing Anaya, 10, and Jax, 4 in their Vaughan driveway when Mercedes went out of control.",en,['breaking'],[],https://twitter.com/MandelSun/status/1510993972335812616,[],[],0,,6,16,5
21,1510993749467410432,aartipole,1649083957000.0,2022-04-04 22:52:37,"My heart absolutely breaks for these parents. 💔  The teenager who lost control of a speeding Mercedes Benz, hitting and killing Anaya Chaudhari, 10, and Jax Chaudhari, 4, in a Vaughan driveway has been sentenced to 1 year in youth facility:  https://t.co/RPxC692FS4",en,[],[],https://twitter.com/aartipole/status/1510993749467410432,['https://www.thestar.com/local-vaughan/news/crime/2022/04/04/teen-driver-who-struck-killed-2-kids-in-vaughan-driveway-sentenced-to-1-year-in-youth-facility.html'],[],0,,4,0,2
24,1510990259441610756,gulf_news,1649083125000.0,2022-04-04 22:38:45,"1955 Mercedes of Travancore Royals now with M.A. Yusuf Ali   Iconic vehicle was bought for then princely amount of Rs 12,000  https://t.co/574JfjBUUI",en,[],[],https://twitter.com/gulf_news/status/1510990259441610756,['https://gn24.ae/d548e1acc69d000'],[],0,,3,0,0
25,1510989936836718597,MercedesBenzUSA,1649083048000.0,2022-04-04 22:37:28,.@JonRahmpga handles Amen Corner. The EQS handles all the corners. Mercedes-Benz. Proud Global Partner of @TheMasters. #TheMasters #MercedesEQ #EQS  https://t.co/YUwNTWghEP,en,"['themasters', 'mercedeseq', 'eqs']",[],https://twitter.com/MercedesBenzUSA/status/1510989936836718597,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1510989817160646657/pu/img/MN9eJK4ANTn4vCdU.jpg,29,1,6
26,1510988859093397508,LanceStorm,1649082791000.0,2022-04-04 22:33:11,"In addition to Mickie James other women who are or were still killing it on the national stage in their 40s. In a featured big match or better, not just a Battle Royal. 👊 Ivory Jacqueline Mercedes Lisa Marie Maria Tamina  Beth  Lita Trish Gail Shayna  Satamura Any more?",en,[],[],https://twitter.com/LanceStorm/status/1510988859093397508,[],[],0,,117,13,4
29,1510986302455525380,Gerry_Taggart,1649082181000.0,2022-04-04 22:23:01,"IN STOCK: Mercedes Benz A Class Saloon A180 AMG Line Executive Edition 4dr Auto   Business Contract Hire  £262.84 + VAT Per Month £2,365.59 + VAT Initial Rental  48 Month Contract 5000 Miles Per Year  More info 👉  https://t.co/j1OlCgMVUd  *Subject to Credit Approval*  #ThinkPink  https://t.co/fuRqbK71aX",en,['thinkpink'],[],https://twitter.com/Gerry_Taggart/status/1510986302455525380,['https://bit.ly/3NAMjon'],['https://pbs.twimg.com/media/FPgaCGVXsAIkQkT.jpg'],1,https://pbs.twimg.com/media/FPgaCGVXsAIkQkT.jpg,0,0,0
