,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
0,1511024615736365060,PorscheNewsroom,1649091316000.0,2022-04-05 00:55:16,"Adventure was on the menu during a shoot with photographer Rockkhound and the #Porsche Taycan Cross Turismo, with Thailand's Pran Buri district offering everything from rocky mountains to lush forests and sandy beaches. More:  https://t.co/6Ve6P7LSdT  https://t.co/IsEV5y0FH2",en,['porsche'],[],https://twitter.com/PorscheNewsroom/status/1511024615736365060,['http://porsche.click/3DFUzPq'],['https://pbs.twimg.com/media/FPg8J0dXoAYuiuF.jpg'],1,https://pbs.twimg.com/media/FPg8J0dXoAYuiuF.jpg,3,0,0
1,1511022539073589250,YRP,1649090821000.0,2022-04-05 00:47:01,"SUSPECTS SOUGHT FOLLOWING CARJACKING IN MARKHAM- Police are looking to identify two male suspects after a blue 2019 Porsche Cayenne was stolen at knife-point April 2, at 4:40 p.m. from the area of Major Mackenzie Dr. E &amp; Markland St.  https://t.co/WRmzYyxeD4",en,[],[],https://twitter.com/YRP/status/1511022539073589250,['https://bit.ly/37aUIxY'],[],0,,3,1,2
9,1511008016539209729,PorscheCanada,1649087358000.0,2022-04-04 23:49:18,We asked female leaders within the #Porsche community what advice they would give to their younger selves if given the opportunity. Here is how they responded. #DriveDefinesHer  https://t.co/JMCn9nLy19,en,"['porsche', 'drivedefinesher']",[],https://twitter.com/PorscheCanada/status/1511008016539209729,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1511003826937114626/pu/img/s_MW17KZCKU1xsQf.jpg,3,0,2
10,1511004822618750979,Porsche,1649086597000.0,2022-04-04 23:36:37,@buyer_product Thank you for bringing this to our attention. We would like to offer our personal assistance. Please DM us with your phone number.,en,[],[],https://twitter.com/Porsche/status/1511004822618750979,[],[],0,,0,0,0
12,1510997368489099265,PorscheRaces,1649084820000.0,2022-04-04 23:07:00,"#24hNBR - The @toksportwrt team will field a #Porsche #911GT3R in this year's @24hNBR with a strong driver line-up: @mattcampbell22_, @Mathjaminet and @JAndlauer will share driving duties  https://t.co/KbhNTU4WoY",en,"['24hnbr', 'porsche', '911gt3r']",[],https://twitter.com/PorscheRaces/status/1510997368489099265,[],['https://pbs.twimg.com/media/FPf7XLbXIAMEJLo.jpg'],1,https://pbs.twimg.com/media/FPf7XLbXIAMEJLo.jpg,138,0,24
13,1510995664641085444,PorscheNewsroom,1649084414000.0,2022-04-04 23:00:14,"With a range capable of tackling expeditions, 800-volt technology and enough space to accommodate everything one might need, the #Porsche Taycan Cross Turismo is ready for adventure with photographer Rockkhound. More:  https://t.co/BGs53N9YRS  https://t.co/gLmtNFTkIS",en,['porsche'],[],https://twitter.com/PorscheNewsroom/status/1510995664641085444,['https://porsche.click/3DFUzPq'],['https://pbs.twimg.com/media/FPgibonXoAEBKnC.jpg'],1,https://pbs.twimg.com/media/FPgibonXoAEBKnC.jpg,18,0,1
14,1510995609473503242,TheCrewGame,1649084400000.0,2022-04-04 23:00:00,"🛠 Scheduled Patch Maintenance 🛠  📅 This Wednesday, April 6.  🎯 Fixing: ✅ Login error 353 for affected players. ✅ Crash issue with the Porsche 550 Spyder.  🕘 From: 8AM UTC / 4AM EDT 📉 Estimated duration: 3 hours 🎮 Platforms: PC, PS, Xbox, Stadia",en,[],[],https://twitter.com/TheCrewGame/status/1510995609473503242,[],[],0,,86,6,11
15,1510995608798081027,GoodwoodRRC,1649084400000.0,2022-04-04 23:00:00,It's a clash of the titans as Porsche takes on Ferrari! #78MM  https://t.co/hIsNFGl2dF,en,['78mm'],[],https://twitter.com/GoodwoodRRC/status/1510995608798081027,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1449743209102516227/img/oCNuNvW8ETQl1Aaf.jpg,32,0,5
20,1510982268923248647,carwowuk,1649081220000.0,2022-04-04 22:07:00,SPOTTED - updated Porsche Cayenne!  ➡️ Slightly more sporty look  ➡️ A 630hp Turbo S version could be coming  ➡️ Turbo S E-Hybrid also on the way   More info:  https://t.co/sfvvcojilv   Is the Cayenne your SUV of choice?  https://t.co/AcMIsbRZRc,en,[],[],https://twitter.com/carwowuk/status/1510982268923248647,['https://bit.ly/-Porsche-Cayenne-Spotted'],['https://pbs.twimg.com/media/FPRgNlLXsAc1xJY.jpg'],1,https://pbs.twimg.com/media/FPRgNlLXsAc1xJY.jpg,79,3,5
23,1510978176490487810,TataPower,1649080244000.0,2022-04-04 21:50:44,Switching to EVs made easier by Tata Power EZ Charge!  @AudiIN | @JaguarIndia | @MercedesBenzInd | @TataMotors | @Lexus | @Porsche_India | @MGMotorIn | @HyundaiIndia  #AutocarIndia #TheFutureIsHere #TataPowerEZCharge,en,"['autocarindia', 'thefutureishere', 'tatapowerezcharge']",[],https://twitter.com/TataPower/status/1510978176490487810,[],[],0,,6,1,0
26,1510972936118849541,Porsche,1649078995000.0,2022-04-04 21:29:55,@slavkingperez We would like to assist you. Please DM us with your phone number.,en,[],[],https://twitter.com/Porsche/status/1510972936118849541,[],[],0,,0,0,0
29,1510969686141325318,Porsche,1649078220000.0,2022-04-04 21:17:00,@ScottStelk Thank you for sharing your experience. We would like to assist. Please DM us with your phone number.,en,[],[],https://twitter.com/Porsche/status/1510969686141325318,[],[],0,,0,0,0
30,1510969281185525769,denkmit,1649078123000.0,2022-04-04 21:15:23,"As he hinted at in our interview a few weeks ago, @lorenzo99 is going car racing in 2022! Racing in the Porsche Carrera Cup Italy  https://t.co/gisbNH82ZS",en,[],[],https://twitter.com/denkmit/status/1510969281185525769,[],['https://pbs.twimg.com/media/FPgKi5wXIAI4IlU.jpg'],1,https://pbs.twimg.com/media/FPgKi5wXIAI4IlU.jpg,342,12,25
31,1510969183621681161,fosgoodwood,1649078100000.0,2022-04-04 21:15:00,"Today is Richard Attwood's birthday, so lets take a look back to when he ragged the Porsche 917K that he piloted to victory at Le Mans in 1970! #FOS #gw_Porsche  https://t.co/YfE60fYGlr",en,"['fos', 'gw_porsche']",[],https://twitter.com/fosgoodwood/status/1510969183621681161,[],[],1,https://pbs.twimg.com/media/EaTXCQRWAAAMF1i.jpg,37,1,7
32,1510968716837756933,PorscheNewsroom,1649077989000.0,2022-04-04 21:13:09,"Rockkhound, one of Thailand’s most in-demand photographers, was set the challenge of capturing the soul of the first Cross Utility Vehicle from #Porsche. See the results here:  https://t.co/BGs53N9YRS  https://t.co/RXtswELOc0",en,['porsche'],[],https://twitter.com/PorscheNewsroom/status/1510968716837756933,['https://porsche.click/3DFUzPq'],[],1,https://pbs.twimg.com/amplify_video_thumb/1510964995244314627/img/k7oUx4Ku-DCcZX83.jpg,26,0,1
34,1510966176477855752,RIMOWA,1649077383000.0,2022-04-04 21:03:03,"Introducing the RIMOWA x @Porsche Hand-Carry Case Pepita, which unites two German icons in one special-edition piece. Made in Cologne, the grooved aluminium case features a wheel-free design. Launching April 21, only 911 numbered pieces will be produced.  #RIMOWAxPORSCHE  https://t.co/jinM5QsQgi",en,['rimowaxporsche'],[],https://twitter.com/RIMOWA/status/1510966176477855752,[],['https://pbs.twimg.com/media/FPgHurGWUAU8taY.jpg'],1,https://pbs.twimg.com/media/FPgHurGWUAU8taY.jpg,31,0,7
35,1510964199375187972,PorscheRetail,1649076912000.0,2022-04-04 20:55:12,Countryside drives in the iconic 991.1 Carrera finished in Agate Grey 🌲  • 📸: d5.visuals (Instagram)  https://t.co/QZ1XtNRzW9,en,[],[],https://twitter.com/PorscheRetail/status/1510964199375187972,[],"['https://pbs.twimg.com/media/FPgF0F_XwAMJVDc.jpg', 'https://pbs.twimg.com/media/FPgF5aQX0AA4rKp.jpg']",1,https://pbs.twimg.com/media/FPgF0F_XwAMJVDc.jpg,9,0,0
37,1510956003629711368,InsideEVs,1649074958000.0,2022-04-04 20:22:38,US: Porsche Taycan Sales Remained Stable In Q1 2022  https://t.co/cZYhP9JH3b via @insideevs.com,en,[],[],https://twitter.com/InsideEVs/status/1510956003629711368,['https://insideevs.com/news/577484/us-porsche-taycan-sales-2022q1/amp/'],[],0,,8,2,4
40,1510952269042405380,PorscheRaces,1649074067000.0,2022-04-04 20:07:47,"#ELMS - Shanghai-based #Porsche customer racing team @absolute_racing will compete in the 2022 @EuropeanLMS season with a #911RSR. Belgian driver @PicarielloCA teams up with @MRumpRacing from Estonia and Andrew Haryanto, one of the team's drivers in the 2021 #LeMans24 debut  https://t.co/reLAjEVlT0",en,"['elms', 'porsche', '911rsr', 'lemans24']",[],https://twitter.com/PorscheRaces/status/1510952269042405380,[],['https://pbs.twimg.com/media/FPf7FF7XwAUk-DI.jpg'],1,https://pbs.twimg.com/media/FPf7FF7XwAUk-DI.jpg,167,0,18
42,1510951315219881987,evomagazine,1649073840000.0,2022-04-04 20:04:00,Is the BMW M4 Competition xDrive Convertible a cheaper alternative to the Porsche 911 Carrera 4 Cabriolet?  https://t.co/8Hr3LZRb8r  https://t.co/BsbHZmIszv,en,[],[],https://twitter.com/evomagazine/status/1510951315219881987,['https://evo.co.uk/bmw/m4/204650/bmw-m4-competition-xdrive-convertible-a-cut-price-porsche-911-carrera-4-cabriolet'],['https://pbs.twimg.com/media/FPfOLUCX0AUbavW.jpg'],1,https://pbs.twimg.com/media/FPfOLUCX0AUbavW.jpg,37,1,6
44,1510945087164862470,PorscheGB,1649072355000.0,2022-04-04 19:39:15,"As we gear up for #Porsche Visit Cayman Islands #SprintChallenge GB, we welcome a number of new teams and drivers starting their journey with Porsche Motorsport GB.  Discover more:  https://t.co/kUZMqRugG0    Photography: @danbathie  https://t.co/xllBUdw1uU",en,"['porsche', 'sprintchallenge']",[],https://twitter.com/PorscheGB/status/1510945087164862470,['https://www.porsche.com/uk/motorsportandevents/motorsport/customerracing'],"['https://pbs.twimg.com/media/FPfz14vXwAUyd0A.jpg', 'https://pbs.twimg.com/media/FPfz-8nXwAE6VtW.jpg', 'https://pbs.twimg.com/media/FPf0J9JXwAYJnUn.jpg']",1,https://pbs.twimg.com/media/FPfz14vXwAUyd0A.jpg,10,0,2
45,1510945073651134473,PorscheGB,1649072352000.0,2022-04-04 19:39:12,2022 is the milestone 20th anniversary for Porsche #CarreraCup GB - all eyes will be on the 2022/23 Porsche Carrera Cup GB Junior @ASmalley54 ahead of his debut at the first round @DoningtonParkUK later this month.  https://t.co/j1vdRgcLBL,en,['carreracup'],[],https://twitter.com/PorscheGB/status/1510945073651134473,[],"['https://pbs.twimg.com/media/FPfzh-TWUAETV1Z.jpg', 'https://pbs.twimg.com/media/FPfzlXpXsAIZXHh.jpg', 'https://pbs.twimg.com/media/FPfzrrIWUAAf0_z.jpg']",1,https://pbs.twimg.com/media/FPfzh-TWUAETV1Z.jpg,17,1,4
46,1510945063681024003,PorscheGB,1649072349000.0,2022-04-04 19:39:09,. @SilverstoneUK Circuit hosted #Porsche Carrera Cup GB and Porsche Visit @Cayman_Islands Sprint Challenge GB this week for pre-season testing. Racers from both Championships had an opportunity to set laps and showcase their cars and liveries.  https://t.co/moClIgR03r,en,['porsche'],[],https://twitter.com/PorscheGB/status/1510945063681024003,[],"['https://pbs.twimg.com/media/FPfyk6CXMAQ1TUW.jpg', 'https://pbs.twimg.com/media/FPfyr_6XsAA0IgX.jpg', 'https://pbs.twimg.com/media/FPfyug2XoAE6PqL.jpg', 'https://pbs.twimg.com/media/FPfzFsBXoAA8js8.jpg']",1,https://pbs.twimg.com/media/FPfyk6CXMAQ1TUW.jpg,14,1,4
47,1510942231108239365,nextvisions,1649071674000.0,2022-04-04 19:27:54,"One of several key challenges facing carmakers is building the right skills within the organization and preparing the workforce for advanced manufacturing. Some thoughts, how to empower people in the Porsche Production 4.0 Ecosystem.   ▶️  https://t.co/ook0I0tp6b  #SmartLeanGreen  https://t.co/6fLsH1bRtX",en,['smartleangreen'],[],https://twitter.com/nextvisions/status/1510942231108239365,['https://medium.com/next-level-german-engineering/empowering-people-in-the-porsche-production-4-0-ecosystem-d055a0521737'],['https://pbs.twimg.com/media/FPfx8pWXsAsf10C.jpg'],1,https://pbs.twimg.com/media/FPfx8pWXsAsf10C.jpg,1,0,0
48,1510936968183656451,yorkshirepost,1649070419000.0,2022-04-04 19:06:59,"Harrogate businessman to stand trial over death of cyclist Andrew Jackson, who was struck by a Porsche 911 on a rural road  https://t.co/HgNMDQqEt9",en,[],[],https://twitter.com/yorkshirepost/status/1510936968183656451,['https://www.yorkshirepost.co.uk/news/crime/yorkshire-businessman-to-stand-trial-over-death-of-cyclist-andrew-jackson-who-was-struck-by-porsche-on-rural-road-3639480'],[],0,,3,0,0
49,1510934218326507522,AutoNewsEurope,1649069764000.0,2022-04-04 18:56:04,"VW halts output at plant that builds Porsche, Audi, and VW SUVs  https://t.co/1hGpmERT9Q  https://t.co/PHqVJ8aQ8r",en,[],[],https://twitter.com/AutoNewsEurope/status/1510934218326507522,['http://dlvr.it/SMwsKz'],['https://pbs.twimg.com/media/FPfqqjKVgAcIK-2.jpg'],1,https://pbs.twimg.com/media/FPfqqjKVgAcIK-2.jpg,0,0,0
