,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512822518209343489,1512822518209343489,1649519969000.0,2022-04-09 23:59:29,+0800,,"#Twitter said it will appoint #Tesla CEO to its board, a day after the billionaire disclosed a 9.2% stake in the social media company.  https://t.co/ffU8hepUm0",en,"['twitter', 'tesla']",[],866818669619195904,866818669619195904,China_Fact,China Perspective,6,23,https://twitter.com/China_Fact/status/1512822518209343489,[],['https://pbs.twimg.com/media/FP6gDnAagAQ9TYt.jpg'],1,https://pbs.twimg.com/media/FP6gDnAagAQ9TYt.jpg,False,2,1,0,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
1,1512406786522845185,1512406786522845185,1649420851000.0,2022-04-08 20:27:31,+0800,,"Tech Insider: We wrap the biggest stories in tech around China, including:  · https://t.co/7N9O8mlvpN founder Richard Liu steps down as CEO ·Huawei bets on sodium-ion batteries ·Tesla recalls nearly 130,000 Model 3s  https://t.co/4rTS0WuxZT",en,[],[],104146203,104146203,caixin,Caixin Global,5,20,https://twitter.com/caixin/status/1512406786522845185,"['http://JD.com', 'https://www.caixinglobal.com/2022-04-08/tech-insider-jdcom-founder-hands-off-ceo-title-huaweis-battery-bet-101867432.html?rkey=4jojc%2BU9Dvsngy8ZDEibRfFL%2FE7ci4pKSDA27AFnl0l2gmu8mGaE1w%3D%3D&cxg=web&Sfrom=twitter']",[],0,,False,1,0,1,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
2,1512241566651277313,1512083022778187777,1649381460000.0,2022-04-08 09:31:00,+0800,,"@yoyominnie @wsj_douglasj @rachelliang5602 Stringent measures to contain the country’s worst outbreak in two years are locking down the industrial heartland around Shanghai, keeping many workers at home, restricting output at some factories and closing others, including suppliers for Apple, Tesla.  https://t.co/pcSuc1bDDY",en,[],[],382788364,382788364,JChengWSJ,Jonathan Cheng,5,09,https://twitter.com/JChengWSJ/status/1512241566651277313,['https://on.wsj.com/3KkG7Pf'],[],0,,False,2,1,2,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,"[{'screen_name': 'yoyominnie', 'name': 'YJ', 'id': '72258394'}, {'screen_name': 'wsj_douglasj', 'name': 'Jason Douglas', 'id': '335307372'}, {'screen_name': 'rachelliang5602', 'name': 'Rachel Liang', 'id': '1470327169670729730'}]",,,,
3,1512173528161914883,1512173528161914883,1649365238000.0,2022-04-08 05:00:38,+0800,,"#Tesla has moved to recall 127,785 made-in-China and imported #Model3s in China starting from Thursday over safety risks.  https://t.co/XptQPflkCH",en,"['tesla', 'model3s']",[],49616273,49616273,globaltimesnews,Global Times,5,05,https://twitter.com/globaltimesnews/status/1512173528161914883,['https://bit.ly/3KjGKs9'],[],0,,False,9,3,3,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
4,1512159549947588611,1512159549947588611,1649361905000.0,2022-04-08 04:05:05,+0800,,"The S&amp;P 500 ended higher on Thursday, with Microsoft and Tesla fueling a late-session rally for the U.S. stock index.  #CGTNAmerica",en,['cgtnamerica'],[],1115874631,1115874631,CGTNOfficial,CGTN,5,04,https://twitter.com/CGTNOfficial/status/1512159549947588611,[],[],0,,False,8,1,1,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
5,1512037481813721089,1512037481813721089,1649332802000.0,2022-04-07 20:00:02,+0800,,"#Tesla hat für das erste Quartal einen Rekord bei den Auslieferungen von Elektrofahrzeugen gemeldet, und das trotz der anhaltenden weltweiten Pandemie und der Herausforderungen in der Lieferkette.",de,['tesla'],[],2523812532,2523812532,RenminDeutsch,Renmin Ribao Online,4,20,https://twitter.com/RenminDeutsch/status/1512037481813721089,[],[],0,,False,0,0,0,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
6,1511991231710400517,1511991231710400517,1649321775000.0,2022-04-07 16:56:15,+0800,,"#Tesla China will recall 127,785 domestic and imported Model 3 series made from Jan 11, 2019 to Jan 25, 2022 due to inverter malfunction starting from Thursday: China’s market supervision authorities  https://t.co/pUELYbn6gM",en,['tesla'],[],49616273,49616273,globaltimesnews,Global Times,4,16,https://twitter.com/globaltimesnews/status/1511991231710400517,[],['https://pbs.twimg.com/media/FPusABZacAISfTD.jpg'],1,https://pbs.twimg.com/media/FPusABZacAISfTD.jpg,False,16,6,7,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
7,1511907422587158528,1511907422587158528,1649301794000.0,2022-04-07 11:23:14,+0800,,"Tesla CEO Elon Musk has become the richest person in the world with a net worth of $219 billion, according to Forbes magazine on Tuesday.  https://t.co/rc9JfOL7kx  https://t.co/whgidJs9n1",en,[],[],147491390,147491390,chinaorgcn,China.org.cn,4,11,https://twitter.com/chinaorgcn/status/1511907422587158528,['http://www.china.org.cn/business/2022-04/07/content_78152529.htm'],['https://pbs.twimg.com/media/FPtfw4MVgAAXpdU.jpg'],1,https://pbs.twimg.com/media/FPtfw4MVgAAXpdU.jpg,False,4,0,2,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
8,1511179188057030657,1511179188057030657,1649128169000.0,2022-04-05 11:09:29,+0800,,"Tesla boss #ElonMusk on Monday disclosed a 9.2-percent stake in Twitter, making him the micro-blogging site's largest shareholder. #Twitter   https://t.co/04vUa5Ducn",en,"['elonmusk', 'twitter']",[],1202820866595123200,1202820866595123200,CGTNGraphics,CGTN Graphics,2,11,https://twitter.com/CGTNGraphics/status/1511179188057030657,['https://news.cgtn.com/news/2022-04-05/Elon-Musk-buys-large-stake-in-Twitter-sending-stock-soaring-18YFVyg3qda/index.html'],[],0,,False,0,0,0,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
9,1510762733243072512,1510762733243072512,1649028878000.0,2022-04-04 07:34:38,+0800,,#Tesla delivers record vehicle deliveries in Q1 2022  https://t.co/SD1S27ypZO,en,['tesla'],[],1194200332445741057,1194200332445741057,CGTNBusiness,CGTN Business,1,07,https://twitter.com/CGTNBusiness/status/1510762733243072512,['https://news.cgtn.com/news/2022-04-03/Tesla-delivers-record-vehicle-deliveries-in-Q1-2022-18VDfy1tieI/index.html'],[],0,,False,1,0,0,,tesla OR Tsla,,"39.916668,116.383331,500km",,,,,[],,,,
