,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
0,1.51E+18,MtRushmore2016,USA,1.65E+12,2022-09-04T23:44:00Z,"“A filing by a group of 7 shareholders said that while Volkswagen does disclose its trade association memberships, it should go further and say whether the associations' aims are compatible with its emissions-cutting targets.” 😵‍💫",en,[],[],https://twitter.com/MtRushmore2016/status/1512818764487790592,[],[],0,0,0,0
1,1.51E+18,Jenthedecorator,UK,1.65E+12,2022-09-04T23:15:00Z,Hello New work van So I've just travelled 141 miles  up to Doncaster to collect my new motor. Little step up from my 21 year old Honda civic I've been using 🤣 and many kkkkkk more too lol Welcome Vinny the Volkswagen💙  https://t.co/vQsN7EhOiv,en,[],[],https://twitter.com/Jenthedecorator/status/1512811487944921088,[],"['https://pbs.twimg.com/media/FP6V9v2WQAQ_zKX.jpg', 'https://pbs.twimg.com/media/FP6V-yFXwAIupDc.jpg']",1,8,3,0
2,1.51E+18,VDubRadio,France,1.65E+12,2022-09-04T23:00:00Z,Now Playing on VDubRadio: VDubRadio - Main Top Of The Hour Jingle 5 - Tune in now at  https://t.co/L4pznrdqTe or click here:  https://t.co/2EDG4rFldf  #vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music,en,"['vdubradio', 'internetradio', 'volkswagen', 'vw', 'vwbeetle', 'vwcamper', 'vdub', 'volkswagen', 'camper', 'camping', 'music']",[],https://twitter.com/VDubRadio/status/1512807600768929796,"['http://VDubRadio.com', 'https://s2.radio.co/s6fb3318ac/listen']",[],0,0,0,0
3,1.51E+18,techaeris,USA,1.65E+12,2022-09-04T22:55:00Z,"Volkswagen CFO says semiconductor chip shortage will last until 2024  According to Volkswagen CFO Arno Antlitz, the ongoing semiconductor chip shortage will continue into 2024.  #Volkswagen #chipshortage #technews   https://t.co/frCuarws2O",en,"['volkswagen', 'chipshortage', 'technews']",[],https://twitter.com/techaeris/status/1512806442729881600,['https://techaeris.com/2022/04/09/volkswagen-cfo-says-semiconductor-chip-shortage-will-last-until-2024/'],[],0,1,0,0
4,1.51E+18,MMM_Magazine,UK,1.65E+12,2022-09-04T22:00:00Z,"VW confirms price for new Caddy California campervan  @volkswagen has confirmed prices and specifications of its latest campervan, the Caddy California:  https://t.co/OGyKlt1MoN",en,[],[],https://twitter.com/MMM_Magazine/status/1512792449533583365,['https://www.outandaboutlive.co.uk/motorhomes/news/vw-confirms-price-for-new-caddy-california-campervan'],[],0,0,0,0
5,1.51E+18,VfLWolfsburg_EN,Germany,1.65E+12,2022-09-04T21:30:00Z,⏱️ 1' | KICKOFF 👟⚽️  And we're underway from the Volkswagen Arena!   HUGE match today! Come on Wolves! 🐺   #WOBDSC | 0-0   #VfLWolfsburg 🟢⚪️  https://t.co/YBPuU0udnd,en,"['wobdsc', 'vflwolfsburg']",[],https://twitter.com/VfLWolfsburg_EN/status/1512785104862597126,[],['https://pbs.twimg.com/media/FP58fJ8WQAQK8wN.jpg'],1,3,0,0
6,1.51E+18,SudhirKumarBajp,India,1.65E+12,2022-09-04T21:17:00Z,@shafeeqm @VW Congratulations,en,[],[],https://twitter.com/SudhirKumarBajp/status/1512781811788632065,[],[],0,0,0,0
7,1.51E+18,1ndre75,USA,1.65E+12,2022-09-04T21:16:00Z,@JaguarDTM1 @justin_fenton @VW I remember my aunt being put through the ringer with a Jetta or two back in the day. I promised myself never buy a Jetta. Bought a Passat and understood first hand and third degree! 🥴,en,[],[],https://twitter.com/1ndre75/status/1512781451720282113,[],[],0,0,0,0
8,1.51E+18,Telegraph,France,1.65E+12,2022-09-04T21:12:00Z,🚗Volkswagen's plan to focus on more profitable vehicles and the electric push risks pricing the middle classes out of motoring  https://t.co/yyQPGwRK5b,en,[],[],https://twitter.com/Telegraph/status/1512780452356104200,['https://www.telegraph.co.uk/business/2022/04/08/affordable-family-car-endangered-species/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1649508526-1'],[],0,5,2,10
9,1.51E+18,1ndre75,USA,1.65E+12,2022-09-04T21:11:00Z,@mattgonter @justin_fenton @VW I'm embarrassed to admit the amount of money I spent trying to keep that VW Passat alive. 💔 Never again! Never ever!,en,[],[],https://twitter.com/1ndre75/status/1512780275675185159,[],[],0,0,0,0
10,1.51E+18,VDubRadio,UK,1.65E+12,2022-09-04T21:01:00Z,Now Playing on VDubRadio: DJ Marky - In The Groove - Tune in now at  https://t.co/L4pznrdqTe or click here:  https://t.co/2EDG4rFldf  #vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music,en,"['vdubradio', 'internetradio', 'volkswagen', 'vw', 'vwbeetle', 'vwcamper', 'vdub', 'volkswagen', 'camper', 'camping', 'music']",[],https://twitter.com/VDubRadio/status/1512777600653045775,"['http://VDubRadio.com', 'https://s2.radio.co/s6fb3318ac/listen']",[],0,0,0,0
11,1.51E+18,SPARSHSINGHAL9,India,1.65E+12,2022-09-04T20:57:00Z,One of the fucking worst company in automobile industry is Volkswagen. It’s better to purchase the car of @TataMotors  or @MahindraRise These are best company for automobiles. #boycottvolkswagen,en,['boycottvolkswagen'],[],https://twitter.com/SPARSHSINGHAL9/status/1512776801088643080,[],[],0,0,1,1
12,1.51E+18,SPARSHSINGHAL9,India,1.65E+12,2022-09-04T20:55:00Z,"@volkswagenindia,@VW Fraud &amp; scam company with uneducated peoples from top to bottom  7months after putting complain nothing has been done. I have send 2 legal notice from and the case has also been filed against them for mental harassment and fraud in court. #boycottvollswagen.",en,['boycottvollswagen'],[],https://twitter.com/SPARSHSINGHAL9/status/1512776135280631817,[],[],0,0,1,1
13,1.51E+18,JourneyTrade,USA,1.65E+12,2022-09-04T20:54:00Z,Volkswagen rejects shareholder push for climate lobbying disclosures  https://t.co/fgLSAKdKNm  https://t.co/8aaZroFq85,en,[],[],https://twitter.com/JourneyTrade/status/1512775856942317573,['http://dlvr.it/SNGblp'],['https://pbs.twimg.com/media/FP51oB6WUAI1H0i.jpg'],1,0,0,0
14,1.51E+18,VDubRadio,UK,1.65E+12,2022-09-04T19:00:00Z,Now Playing on VDubRadio: VDubRadio - Top Of The Hour Jingle - Tune in now at  https://t.co/L4pznrdqTe or click here:  https://t.co/2EDG4rFldf  #vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music,en,"['vdubradio', 'internetradio', 'volkswagen', 'vw', 'vwbeetle', 'vwcamper', 'vdub', 'volkswagen', 'camper', 'camping', 'music']",[],https://twitter.com/VDubRadio/status/1512747165642366985,"['http://VDubRadio.com', 'https://s2.radio.co/s6fb3318ac/listen']",[],0,0,0,0
15,1.51E+18,ThriftWallet,USA,1.65E+12,2022-09-04T17:48:00Z,"Chip undersupply to last until 2024, says Volkswagen CFO: report  https://t.co/j1OsbqKLRH",en,[],[],https://twitter.com/ThriftWallet/status/1512729277548179459,['https://thriftyourwallet.com/chip-undersupply-to-last-until-2024-says-volkswagen-cfo-report/'],[],0,0,0,0
16,1.51E+18,AndyVermaut,France,1.65E+12,2022-09-04T16:54:00Z,"Andy Vermaut shares:Chip undersupply to last until 2024, says Volkswagen CFO -Boersen-Zeitung  https://t.co/k5mu0rYdEC Thank you.  https://t.co/jlqsaqHO7N",en,[],[],https://twitter.com/AndyVermaut/status/1512715577885806597,['https://www.channelnewsasia.com/business/chip-undersupply-last-until-2024-says-volkswagen-cfo-boersen-zeitung-2617706?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FP4-zUEaUAAmK1w.jpg'],1,0,0,0
17,1.51E+18,NamanBhan,India,1.65E+12,2022-09-04T16:41:00Z,@Variety Wait so now they've become something like the VolksWagen of TV networking?,en,[],[],https://twitter.com/NamanBhan/status/1512712288368685059,[],[],0,0,0,0
18,1.51E+18,TheDatWut,Germany,1.65E+12,2022-09-04T16:39:00Z,@thegranturismo There's 3 possible candidates -2002 Volkswagen Lupo GTI (I drive one IRL) -Chaparral 2D Race Car (was my first expensive car back in Gran Turismo 4) -Hennessey Venom F5 (my favorite modern-day Hypercar),en,[],[],https://twitter.com/TheDatWut/status/1512711700428075009,[],[],0,0,0,0
19,1.51E+18,mnowak_wob,Germany,1.65E+12,2022-09-04T16:33:00Z,@Boweregard @Hoellenaufsicht @Stadt_Wolfsburg @volkswagen That’s sad to hear. But what is the connection to this post?,en,[],[],https://twitter.com/mnowak_wob/status/1512710253275750400,[],[],0,0,0,0
20,1.51E+18,VWliftech,India,1.65E+12,2022-09-04T16:25:00Z,Here is one for hustling to the top. #VolkswagenTaigun #HustleModeOn #Taigun #TaigunIndia #VolkswagenIndia #Volkswagen #Awards,en,"['volkswagentaigun', 'hustlemodeon', 'taigun', 'taigunindia', 'volkswagenindia', 'volkswagen', 'awards']",[],https://twitter.com/VWliftech/status/1512708225870622721,[],[],0,0,0,0
21,1.51E+18,karlmccartney,USA,1.65E+12,2022-09-04T15:55:00Z,"Busy campaigning, as are many @lnconservatives across the City. Taken a few photos over recent weeks of ‘cars’ but the mid-renovation @VW Campervan (ramps were other side) &amp; quite early this AM what looked like a modern daily driver @BMW_UK 8 series, are 2 stand-outs. 🚗🚙😇👍  https://t.co/nULst1S8LJ",en,[],[],https://twitter.com/karlmccartney/status/1512700668431278080,[],"['https://pbs.twimg.com/media/FP4xOnLXMAAC_fA.jpg', 'https://pbs.twimg.com/media/FP4xOnUX0AIQ4Q6.jpg']",1,0,0,0
22,1.51E+18,NewCryptocurre1,USA,1.65E+12,2022-09-04T15:41:00Z,Volkswagen South Africa Launch An NFT Treasure Hunt  Volkswagen South Africa is driving in... #Africa #hunt #Launch #NFT #South #Treasure #Volkswagen  https://t.co/aj2uasqmDt,en,"['africa', 'hunt', 'launch', 'nft', 'south', 'treasure', 'volkswagen']",[],https://twitter.com/NewCryptocurre1/status/1512697186882048001,['https://newcryptocurrencynews.com/volkswagen-south-africa-launch-an-nft-treasure-hunt/?feed_id=154176&_unique_id=625138a8725c8'],[],0,1,0,0
23,1.51E+18,NewCryptocurre1,USA,1.65E+12,2022-09-04T15:38:00Z,Volkswagen South Africa Launch An NFT Treasure Hunt  https://t.co/N2Lurd35DX,en,[],[],https://twitter.com/NewCryptocurre1/status/1512696503466446848,['https://newcryptocurrencynews.com/volkswagen-south-africa-launch-an-nft-treasure-hunt/'],[],0,0,0,0
24,1.51E+18,NewsBytesApp,India,1.65E+12,2022-09-04T15:15:00Z,"After 12 years in production, Volkswagen has finally pulled the plug on the Polo hatchback. The company, on its social media handles, has shared a symbolic and emotional first-person letter from Polo to its customers. Here are more details. #VolkswagenPolo  https://t.co/hCRZSk0ZIt",en,['volkswagenpolo'],[],https://twitter.com/NewsBytesApp/status/1512690524817264646,['https://www.newsbytesapp.com/news/auto/volkswagen-polo-s-production-ends-in-india/story'],[],0,2,0,0
25,1.51E+18,NewsNooga,India,1.65E+12,2022-09-04T15:02:00Z,"WDEF ▶ Volkswagen Adds 1,000 Jobs to Chattanooga Location  https://t.co/J2IktfFyXr via @chattanooganoos",en,[],[],https://twitter.com/NewsNooga/status/1512687458865106949,['https://ift.tt/C10SEKT'],[],0,0,0,0
26,1.51E+18,VDubRadio,France,1.65E+12,2022-09-04T14:26:00Z,"Now Playing on VDubRadio: UnClubbed, Laura Vane - Let The Music Play - Tune in now at  https://t.co/L4pznrdqTe or click here:  https://t.co/2EDG4rFldf  #vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music",en,"['vdubradio', 'internetradio', 'volkswagen', 'vw', 'vwbeetle', 'vwcamper', 'vdub', 'volkswagen', 'camper', 'camping', 'music']",[],https://twitter.com/VDubRadio/status/1512678353656033282,"['http://VDubRadio.com', 'https://s2.radio.co/s6fb3318ac/listen']",[],0,1,0,0
27,1.51E+18,gemgeds,France,1.65E+12,2022-09-04T14:25:00Z,"For real though, why has Stroll turned into someone every weekend this season and why can Latifi barely drive to the point I wouldn’t trust him with my Volkswagen Up? #AusGp",en,['ausgp'],[],https://twitter.com/gemgeds/status/1512677990748016641,[],[],0,1,0,0
28,1.51E+18,Hire3b,France,1.65E+12,2022-09-04T14:22:00Z,LIKE A BOSS 👊  The #Volkswagen Tiguan  @Hire3b   https://t.co/vlfD1hBIdQ Local Independent Vehicle Hire  #carhire #cars #Saturday #BUCKINGHAMSHIRE #oxfordshire  https://t.co/iC4cDf4CPE,en,"['volkswagen', 'carhire', 'cars', 'saturday', 'buckinghamshire', 'oxfordshire']",[],https://twitter.com/Hire3b/status/1512677337430736898,['http://www.3bhire.co.uk'],[],1,1,0,1
29,1.51E+18,VDubRadio,France,1.65E+12,2022-09-04T13:22:00Z,Now Playing on VDubRadio: VDubRadio - Chilled sessions on VDubRadio 2 (FX) - Tune in now at  https://t.co/L4pznrdqTe or click here:  https://t.co/2EDG4rFldf  #vdubradio #internetradio #volkswagen #vw #vwbeetle #vwcamper #vdub #volkswagen #camper #camping #music,en,"['vdubradio', 'internetradio', 'volkswagen', 'vw', 'vwbeetle', 'vwcamper', 'vdub', 'volkswagen', 'camper', 'camping', 'music']",[],https://twitter.com/VDubRadio/status/1512662167216078850,"['http://VDubRadio.com', 'https://s2.radio.co/s6fb3318ac/listen']",[],0,0,0,1
30,1.51E+18,flashcrash2022,France,1.65E+12,2022-09-04T13:11:00Z,"@thatgirltrader T+35, the dip before the R.I.P. lol, look at the Volkswagen chart, the FTD’s!!!!!!",en,[],[],https://twitter.com/flashcrash2022/status/1512659353068838914,[],[],0,3,1,0
31,1.51E+18,theindianwire,India,1.65E+12,2022-09-04T12:30:00Z,Confused between the extremely capable Jeep Compass and the highly practical Volkswagen Tiguan? Find out which one is better and why right here:  #jeepcompass #volkswagentiguan #compactsuvs   https://t.co/F0yHqKCV7A,en,"['jeepcompass', 'volkswagentiguan', 'compactsuvs']",[],https://twitter.com/theindianwire/status/1512649002470182914,['https://www.theindianwire.com/automobiles/jeep-compass-vs-volkswagen-tiguan-which-ones-capable-of-being-the-segment-king-329396/'],[],0,0,0,0
32,1.51E+18,carsstoon,USA,1.65E+12,2022-09-04T12:06:00Z,7 volkswagen golf gti drawing carstoon concept Canvas Print #cars #ArtistOnTwitter #drawings -  https://t.co/FkmhBHFatd  https://t.co/ZmgctO7dFg,en,"['cars', 'artistontwitter', 'drawings']",[],https://twitter.com/carsstoon/status/1512642988551323659,['https://ift.tt/UDaximQ'],['https://pbs.twimg.com/media/FP38yCkXoAUwqRs.jpg'],1,0,0,0
