,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512716217059987461,1512716217059987461,1649494625000.0,2022-04-09 16:57:05,+0800,,"Chip undersupply to last until 2024, says Volkswagen CFO -Boersen-Zeitung  https://t.co/KIxJxP50oi  https://t.co/GcdwLTGE3c",de,[],[],38400130,38400130,ChannelNewsAsia,CNA,6,16,https://twitter.com/ChannelNewsAsia/status/1512716217059987461,['https://www.channelnewsasia.com/business/chip-undersupply-last-until-2024-says-volkswagen-cfo-boersen-zeitung-2617706?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FP4_YfraQAMtTi-.jpg'],1,https://pbs.twimg.com/media/FP4_YfraQAMtTi-.jpg,False,3,0,0,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
1,1512365205774163972,1512365205774163972,1649410938000.0,2022-04-08 17:42:18,+0800,,"My answer to Given how expensive cars are in Singapore, why aren't there cheaper compact cars on the road like the Volkswagen Up or Skoda Citigo?  https://t.co/6LtYkMxC8O",en,[],[],1232067967,1232067967,vanWeiringen,Harlequin,5,17,https://twitter.com/vanWeiringen/status/1512365205774163972,['https://www.quora.com/Given-how-expensive-cars-are-in-Singapore-why-arent-there-cheaper-compact-cars-on-the-road-like-the-Volkswagen-Up-or-Skoda-Citigo/answer/Terence-Kenneth-John-Nunis?ch=2&oid=123423069&srid=2yv5&target_type=answer'],[],0,,False,0,0,0,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
2,1512230185575215105,1512230185575215105,1649378746000.0,2022-04-08 08:45:46,+0800,,Painted VW Beetle in coffee! #Volkswagen #beetle #coffee #coffeetalk #car #artistsontwitter #Artists #InkDrawing #cancersurvivor #coffeeart  https://t.co/9onK1KUcHC,en,"['volkswagen', 'beetle', 'coffee', 'coffeetalk', 'car', 'artistsontwitter', 'artists', 'inkdrawing', 'cancersurvivor', 'coffeeart']",[],1484342037230940163,1484342037230940163,WP_CHUN,Cancer Colors My Art,5,08,https://twitter.com/WP_CHUN/status/1512230185575215105,[],['https://pbs.twimg.com/media/FPyE39sVEAIGy6h.jpg'],1,https://pbs.twimg.com/media/FPyE39sVEAIGy6h.jpg,False,3,0,1,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
3,1512149322351226881,1512149322351226881,1649359467000.0,2022-04-08 03:24:27,+0800,,"Volkswagen, Porsche and Audi open to entering Formula One: Spokesperson   https://t.co/WqMLcfMAC1  null  https://t.co/I30wBqTNvV",de,[],[],1271630863,1271630863,tan1872001,Bryan Tan @asiaDigitalLawyer,5,03,https://twitter.com/tan1872001/status/1512149322351226881,['https://www.channelnewsasia.com/sport/volkswagen-porsche-and-audi-open-entering-formula-one-spokesperson-2614896?scid=4ckVFa97Rn0&id=gIHBDBq6UyN'],['https://pbs.twimg.com/media/FPw7y6OX0AwKcQU.jpg'],1,https://pbs.twimg.com/media/FPw7y6OX0AwKcQU.jpg,False,0,0,0,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
4,1512144823993602050,1512144823993602050,1649358394000.0,2022-04-08 03:06:34,+0800,,"Formula One: Volkswagen, Porsche and Audi open to entering F1  https://t.co/uuelSkwuOu",de,[],[],308968000,308968000,STsportsdesk,ST Sports Desk,5,03,https://twitter.com/STsportsdesk/status/1512144823993602050,['https://www.straitstimes.com/sport/formula-one/formula-one-volkswagen-porsche-and-audi-open-to-entering-f1?utm_source=twitter&utm_medium=social-organic&utm_keyword=dlvr.it'],[],0,,False,4,1,1,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
5,1512111473333395470,1512111473333395470,1649350443000.0,2022-04-08 00:54:03,+0800,,"Volkswagen, Porsche and Audi open to entering Formula One - spokesperson  https://t.co/qCaxKYZS0e  https://t.co/BpndqzcSwk",en,[],[],38400130,38400130,ChannelNewsAsia,CNA,5,00,https://twitter.com/ChannelNewsAsia/status/1512111473333395470,['https://www.channelnewsasia.com/sport/volkswagen-porsche-and-audi-open-entering-formula-one-spokesperson-2614896?utm_source=dlvr.it&utm_medium=twitter'],['https://pbs.twimg.com/media/FPwZX0MUYAgixqE.jpg'],1,https://pbs.twimg.com/media/FPwZX0MUYAgixqE.jpg,False,2,1,1,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
6,1511619771808493578,1511619771808493578,1649233212000.0,2022-04-06 16:20:12,+0800,,"Civic ni kereta marhein je bang. Siapa siapa boleh beli, tinggal nak ikut trend atau tak je. Benda boleh pakai Volkswagen, Range Rover, Tesla sekarang. Dah tak musim dah isi petrol. Elok minta jauh la yang buat teruk pakai civic ni.",in,[],[],257975602,257975602,MeanMijer,Chef Sepenuh Masa,3,16,https://twitter.com/MeanMijer/status/1511619771808493578,[],[],0,,False,10,3,5,https://twitter.com/eridanu7/status/1511143576343703554,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
7,1511156988712919040,1509674449213165582,1649122876000.0,2022-04-05 09:41:16,+0800,,@VW @vwbelgie @Herbert_Diess @vwbelgique @VWBelgium @DIeteren_Auto anything you guys can do to help out?,en,[],[],2529042438,2529042438,chrizvdb,Chris Vanden Berghe,2,09,https://twitter.com/chrizvdb/status/1511156988712919040,[],[],0,,False,0,0,0,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,"[{'screen_name': 'VW', 'name': 'Volkswagen', 'id': '28165910'}, {'screen_name': 'vwbelgie', 'name': 'Volkswagen België', 'id': '142227930'}, {'screen_name': 'Herbert_Diess', 'name': 'Herbert Diess', 'id': '1341065688706904064'}, {'screen_name': 'vwbelgique', 'name': 'Volkswagen Belgique', 'id': '113128481'}, {'screen_name': 'VWBelgium', 'name': 'VWBelgium', 'id': '1487279551'}]",,,,
8,1511156685083066370,1509674449213165582,1649122804000.0,2022-04-05 09:40:04,+0800,,@VW @vwbelgie @Herbert_Diess @vw could you help chase your colleagues @vwbelgie @vwbelgique @VWBelgium to be equally responsive? My uncle is turning 90 on 11 April... let's get him some good news on that day! @Herbert_Diess,en,[],[],2529042438,2529042438,chrizvdb,Chris Vanden Berghe,2,09,https://twitter.com/chrizvdb/status/1511156685083066370,[],[],0,,False,0,1,0,,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,"[{'screen_name': 'VW', 'name': 'Volkswagen', 'id': '28165910'}, {'screen_name': 'vwbelgie', 'name': 'Volkswagen België', 'id': '142227930'}, {'screen_name': 'Herbert_Diess', 'name': 'Herbert Diess', 'id': '1341065688706904064'}]",,,,
9,1510834302153805825,1510834302153805825,1649045942000.0,2022-04-04 12:19:02,+0800,,"Shanghai is home to car and chip factories run by General Motors, Tesla, Volkswagen and SMIC. Here's a look at how the city plans to keep production humming over its sweeping lockdown:",en,[],[],886374620,886374620,lizalinwsj,Liza Lin,1,12,https://twitter.com/lizalinwsj/status/1510834302153805825,[],[],0,,False,9,1,4,https://twitter.com/Kubota_Yoko/status/1509846107589079044,volkswagen OR Volkswagen,,"1.290270,103.851959,20km",,,,,[],,,,
