,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
0,1511026328300044296,Tomas_Verde,1649091724000.0,2022-04-05 01:02:04,"Some good stuff from Auburn running back coach Cadillac Williams today on Tank Bigsby — as well as what it was like during those offseason reports of Tank considering a transfer, and the productive conversations the two had.   Story this afternoon on @aldotcomSports",en,[],[],https://twitter.com/Tomas_Verde/status/1511026328300044296,[],[],0,,3,0,1
1,1511025285541642243,Hugeshow,1649091476000.0,2022-04-05 00:57:56,Statewide weekdays 3-6pm:  93.5/99.1/ 94.7 HD 2 Detroit   96.1 GR/K-Zoo/Muskegon  99.7/1450 Holland   100.9 Midland   1330 Flint  94.9/1400 BH/St. Joe  96.5 Adrian   93.7 Cadillac/TC   104.7/1340 Petoskey   1280 Alma/ MP   107.3/ 920 Houghton/Hancock  730 Lansing 6-9pm,en,[],[],https://twitter.com/Hugeshow/status/1511025285541642243,[],[],0,,0,0,0
2,1511023778133860360,brianjstultz,1649091116000.0,2022-04-05 00:51:56,Auburn running back coach Cadillac Williams meeting with the media.  https://t.co/6fD8HyWSeX,en,[],[],https://twitter.com/brianjstultz/status/1511023778133860360,[],['https://pbs.twimg.com/media/FPg8HbqXIAkRt1A.jpg'],1,https://pbs.twimg.com/media/FPg8HbqXIAkRt1A.jpg,3,0,0
4,1511017378636877832,mspnorthernmi,1649089591000.0,2022-04-05 00:26:31,The Cadillac Post will be accepting donations during the month of April.  The post partnered with Oasis Family Resource Center in Cadillac to accept donations as well.  https://t.co/RTEDwPQKVt,en,[],[],https://twitter.com/mspnorthernmi/status/1511017378636877832,[],['https://pbs.twimg.com/media/FPg2RwNXEAYx6RI.jpg'],1,https://pbs.twimg.com/media/FPg2RwNXEAYx6RI.jpg,0,0,0
7,1511013823171502080,CadillacCanada,1649088743000.0,2022-04-05 00:12:23,We are excited to announce our #Escalade is the J.D. Power winner for Best Residual Value Among Premium Fullsize Utility Vehicles. #Cadillac #AwardWinner   Learn more:  https://t.co/LHsLNFpV5R  https://t.co/UZBw3q4yb6,en,"['escalade', 'cadillac', 'awardwinner']",[],https://twitter.com/CadillacCanada/status/1511013823171502080,['https://www.cadillaccanada.ca/en/suvs/escalade'],['https://pbs.twimg.com/media/FPgy-ObX0Ag7pNm.jpg'],1,https://pbs.twimg.com/media/FPgy-ObX0Ag7pNm.jpg,0,0,0
8,1511009458222108673,CraigAWelch,1649087702000.0,2022-04-04 23:55:02,"@gili92107 @ben_a_goldfarb @JohnVaillant @SierraMurdoch @ian_urbina Definitely agree on this. ""Cadillac Desert"" author Marc Reisner's other forgotten gem. Loved it. (Guess your punishment for writing one of the best environmental books ever is that the rest of your work will be immediately forgotten because it's merely ""great."" 😎)",en,[],[],https://twitter.com/CraigAWelch/status/1511009458222108673,[],[],0,,2,1,0
15,1510997117455712256,WTVM,1649084760000.0,2022-04-04 23:06:00,"WTVM, Sons Chevrolet Cadillac of Columbus and Sons Ford Lincoln of Auburn, and Rainbow Foods are asking for your help to stock the shelves of local food banks by donating to WTVM’s Spring Into Action Food Drive.  https://t.co/QT7TdnBDLl",en,[],[],https://twitter.com/WTVM/status/1510997117455712256,['https://www.wtvm.com/2022/04/04/stock-shelves-local-food-banks-by-donating-wtvms-spring-into-action-food-drive/?utm_source=twitter&utm_medium=social&utm_campaign=snd&utm_content=wtvm'],[],0,,0,0,0
16,1510995613504135171,BallySportWest,1649084401000.0,2022-04-04 23:00:01,1) Knock down the 👌  2) Do a lil celebration dance 🕺  #CadillacHighlight | @cadillac | @laclippers  https://t.co/WmkX2jGPf3,en,['cadillachighlight'],[],https://twitter.com/BallySportWest/status/1510995613504135171,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1510836428288106497/img/WXUQOsFwz8Mh1hEM.jpg,4,0,3
17,1510993593506353157,SharpFootball,1649083920000.0,2022-04-04 22:52:00,RBs drafted inside the top-5 since 2005:  2018 NYG - Saquon Barkley 2017 JAX - Leonard Fournette 2016 DAL - Ezekiel Elliott 2012 CLE - Trent Richardson 2008 OAK - Darren McFadden 2006 NO - Reggie Bush 2005 MIA - Ronnie Brown 2005 CHI - Cedric Benson 2005 TB - Cadillac Williams,en,[],[],https://twitter.com/SharpFootball/status/1510993593506353157,[],[],0,,520,62,30
18,1510980511082106884,thefestfl,1649080801000.0,2022-04-04 22:00:01,"FEST 16! We FINALLY got Superchunk to come and play and it was incredible. Against Me! played all of Reinventing Axl Rose. Reunions from City of Caterpillar, Cadillac Blindside, &amp; Majority Rule. A live taping of The Chris Gethard Show! I loved this one.  https://t.co/Lqof2SmO3d",en,[],[],https://twitter.com/thefestfl/status/1510980511082106884,[],['https://pbs.twimg.com/media/FPbn-T0VcAM447P.jpg'],1,https://pbs.twimg.com/media/FPbn-T0VcAM447P.jpg,77,1,1
