,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
2,1511022426448138253,gabbariele,1649090794000.0,2022-04-05 00:46:34,"Fabrizio Gavelli, General Manager of #Danone in #Italy and #Greece on the #book Essentials of Modern #Marketing:  https://t.co/AtO916mrNH #VCP #bebrilliant #anewpathtodigital #EOMM #caterpillarbrands #books #tiktok #Lamborghini #Knauf #Clementoni #Safilo #Bauli",en,"['danone', 'italy', 'greece', 'book', 'marketing', 'vcp', 'bebrilliant', 'anewpathtodigital', 'eomm', 'caterpillarbrands', 'books', 'tiktok', 'lamborghini', 'knauf', 'clementoni', 'safilo', 'bauli']",[],https://twitter.com/gabbariele/status/1511022426448138253,['https://www.tiktok.com/@gabbariele_official/video/7063189553649306885?is_copy_url=1&is_from_webapp=v1'],[],0,,0,0,0
5,1511015430722359299,Lamborghini,1649089126000.0,2022-04-05 00:18:46,An infinite feeling of authentic beauty. This is the road Urus unlocks every time you drive it.​  Captured by @royale77.​  #Lamborghini #Urus #UnlockAnyRoad​  CO2 Emission and Fuel consumption Combined:  https://t.co/zr6fo0ia3H,en,"['lamborghini', 'urus', 'unlockanyroad']",[],https://twitter.com/Lamborghini/status/1511015430722359299,['https://lam.bo/CE_Tw'],[],0,,172,3,28
8,1511008455708098570,john__rosevear,1649087463000.0,2022-04-04 23:51:03,"Concept is a ""collaboration with Italdesign, which is owned by VW Group (Lamborghini and Audi specifically.) Hmm.",en,[],[],https://twitter.com/john__rosevear/status/1511008455708098570,[],[],0,,1,0,0
9,1511008445171830787,ElettraLambo,1649087461000.0,2022-04-04 23:51:01,Mr and Mrs yesterday at the #Grammys 🥰❤️ @afrojack  https://t.co/t1SNXfd4Fk,en,['grammys'],[],https://twitter.com/ElettraLambo/status/1511008445171830787,[],"['https://pbs.twimg.com/media/FPguK3TUYAMma2U.jpg', 'https://pbs.twimg.com/media/FPguK3SVsAU7qGI.jpg', 'https://pbs.twimg.com/media/FPguK3UVgAUXhGS.jpg']",1,https://pbs.twimg.com/media/FPguK3TUYAMma2U.jpg,272,5,17
10,1511007673818529795,BurgerKing,1649087277000.0,2022-04-04 23:47:57,"@HODL_Til_Lambo Thank you for bringing this to our attention, we can certainly look into this for you. Can you DM us the store location you are trying to order from, as well as your contact info (full name/email) so we can look into this?  https://t.co/x3nIBXxbfa",en,[],[],https://twitter.com/BurgerKing/status/1511007673818529795,['https://twitter.com/messages/compose?recipient_id=167421802'],[],0,,0,0,0
12,1510984076165058570,Motor1com,1649081651000.0,2022-04-04 22:14:11,"A new Lamborghini Huracan debuts on April 12, and it might be called the JV Stradale:  https://t.co/XIx6qFlEa2  https://t.co/7jOUCcqWSp",en,[],[],https://twitter.com/Motor1com/status/1510984076165058570,['https://bit.ly/3NOklFN'],['https://pbs.twimg.com/media/FPgYAcuXoAIOOGJ.jpg'],1,https://pbs.twimg.com/media/FPgYAcuXoAIOOGJ.jpg,4,0,2
14,1510981726721515521,gabbariele,1649081090000.0,2022-04-04 22:04:50,"""This book presents an up-to-date and insightful account of the working of modern marketing in today's troubled time."" #PhilpKotler. Discover the #book:  https://t.co/UjfEezjpAt with cases of #Danone #Lamborghini #marketing #iliad #Knauf #EOMM #bebrilliant #purpose #sustainability  https://t.co/DHo2n1kRKI",en,"['philpkotler', 'book', 'danone', 'lamborghini', 'marketing', 'iliad', 'knauf', 'eomm', 'bebrilliant', 'purpose', 'sustainability']",[],https://twitter.com/gabbariele/status/1510981726721515521,['https://eomm.bebrilliant.it/'],['https://pbs.twimg.com/media/FPgV33-WQAYCbxY.jpg'],1,https://pbs.twimg.com/media/FPgV33-WQAYCbxY.jpg,0,0,0
15,1510980857728798726,autocar,1649080883000.0,2022-04-04 22:01:23,"Instead of dwelling on the demise of the purely V12 Lamborghini, whose time, you could reasonably argue, has well and truly come, let’s focus on exactly how a car as momentous as the Aventador is bowing out  https://t.co/UYxChTyP2x  https://t.co/4vnHy2Hu78",en,[],[],https://twitter.com/autocar/status/1510980857728798726,['https://bddy.me/3r0AWw4'],"['https://pbs.twimg.com/media/FPgVD5zX0AY0wSQ.jpg', 'https://pbs.twimg.com/media/FPgVETDWQAcARHi.jpg', 'https://pbs.twimg.com/media/FPgVEqvXMAMyZfv.jpg', 'https://pbs.twimg.com/media/FPgVFLwXMAYleKy.jpg']",1,https://pbs.twimg.com/media/FPgVD5zX0AY0wSQ.jpg,51,0,5
18,1510973407327928326,USNewsCars,1649079107000.0,2022-04-04 21:31:47,"Given its extremely high performance and low production numbers, the Lamborghini Diablo is quickly becoming a highly desirable collectible car.  https://t.co/yRfH6qNiaT",en,[],[],https://twitter.com/USNewsCars/status/1510973407327928326,['https://nytv.to/L0xv7'],[],0,,0,0,0
25,1510937010730504192,dhpierson,1649070429000.0,2022-04-04 19:07:09,"“I’ve done nothing wrong,” said Titus Low, who feels singled-out among the small band of Singaporean OnlyFans creators, possibly because he flaunted his success by posting clips on social media of his Lamborghini, luxury apartment and $6,500 labradoodle, Charlie.  https://t.co/BiA6rfZ6dy",en,[],[],https://twitter.com/dhpierson/status/1510937010730504192,[],['https://pbs.twimg.com/media/FPfsYMMVgAIarPJ.jpg'],1,https://pbs.twimg.com/media/FPfsYMMVgAIarPJ.jpg,0,1,0
