,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
1,1510945028809629698,TheMotleyFoolUK,1649072341000.0,2022-04-04 19:39:01,Are Rolls-Royce shares a buy?  https://t.co/KLp3sLHVAq,en,[],[],https://twitter.com/TheMotleyFoolUK/status/1510945028809629698,['https://www.fool.co.uk/2022/04/04/are-rolls-royce-shares-a-buy'],[],0,,0,0,0
2,1510939103566733313,legitngnews,1649070928000.0,2022-04-04 19:15:28,A man went out with his son and the little boy saw children driving in their car. He cried and asked his dad to get him one.  The talented man went home and built a beautiful Rolls Royce Boat Tail using ordinary wood.   https://t.co/qewE4TsSAy,en,[],[],https://twitter.com/legitngnews/status/1510939103566733313,['https://www.legit.ng/people/family-relationship/1463990-stunning-dad-cuts-ordinary-wood-uses-build-amazing-rolls-royce-boat-tail-car-son-drives-invideo/'],[],0,,16,1,0
3,1510927663208321027,HLInvest,1649068201000.0,2022-04-04 18:30:01,IN THE NEWS: Rolls-Royce investors call for smooth transition to new CEO - from The Financial Times  https://t.co/vSiMSuRT9R,en,[],[],https://twitter.com/HLInvest/status/1510927663208321027,['https://www.hl.co.uk/news/2022/4/4/rolls-royce-investors-call-for-smooth-transition-to-new-ceo?&utm_medium=social-organic&theSource=SOTW&Override=1'],[],0,,0,0,0
5,1510874751371300865,GlosLiveOnline,1649055586000.0,2022-04-04 14:59:46,A Rolls Royce site was targeted   https://t.co/exYAlglDKl,en,[],[],https://twitter.com/GlosLiveOnline/status/1510874751371300865,['https://www.gloucestershirelive.co.uk/news/regional-news/gallery/pictures-show-destruction-after-rolls-6901417'],[],0,,2,0,0
6,1510873336053526528,0xHustler,1649055248000.0,2022-04-04 14:54:08,"When I hit 100k followers on here, I’ll do a huge giveaway. Bigger than I’ve ever done on twitter. A trip to Vegas for 1 person and they can’t bring a +1. Flight and hotel for 2 days, will have my driver pick them up in my Rolls Royce at airport and I’ll take them to dinner.",en,[],[],https://twitter.com/0xHustler/status/1510873336053526528,[],[],0,,681,140,126
7,1510862698678038529,FT,1649052712000.0,2022-04-04 14:11:52,Rolls-Royce investors call for smooth transition to new CEO  https://t.co/ZOQ1KeoFQn,en,[],[],https://twitter.com/FT/status/1510862698678038529,['https://on.ft.com/3DCc2rO'],[],0,,39,4,9
8,1510850112938917890,kushanmitra,1649049711000.0,2022-04-04 13:21:51,"India really has to get her engine game going. Also, we need to diversify our sources, good news for MTU Rolls-Royce i guess",en,[],[],https://twitter.com/kushanmitra/status/1510850112938917890,[],[],0,,3,1,0
9,1510848726927122433,cleantechnica,1649049381000.0,2022-04-04 13:16:21,"Spring Electric Taxi, VinFast Electric Car Factory in USA, Rolls-Royce Spectre — EV News Update  https://t.co/30ITTiJ4Mk",en,[],[],https://twitter.com/cleantechnica/status/1510848726927122433,['https://cleantechnica.com/2022/04/04/spring-electric-taxi-vinfast-electric-car-factory-in-usa-rolls-royce-spectre-ev-news-update/'],[],0,,16,1,3
10,1510833287123587080,talkSPORT,1649045700000.0,2022-04-04 12:15:00,“He’s a little Rolls Royce of a player isn’t he?”  Jurgen Klopp lavished praise on Liverpool's midfield maestro after vital Watford win #LFC    https://t.co/AceldJYKDc,en,['lfc'],[],https://twitter.com/talkSPORT/status/1510833287123587080,['https://talksport.com/football/1078075/jurgen-klopp-thiago-liverpool-bentley-rolls-royce-premier-league/'],[],0,,31,0,2
11,1510810759567187974,markminervini,1649040329000.0,2022-04-04 10:45:29,We live in a world where people who want to drive a Rolls Royce take financial advice from those who can only afford a Hyundai... and then they wonder why they can't achieve big success. 🤔 Step 1. Demand that your coach can actually do what he or she teaches.  https://t.co/v8mphJNEzA,en,[],[],https://twitter.com/markminervini/status/1510810759567187974,[],['https://pbs.twimg.com/media/FPd6YSEXsAYRHwy.jpg'],1,https://pbs.twimg.com/media/FPd6YSEXsAYRHwy.jpg,599,22,49
