,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
1,1511013907611230213,roadshow,1649088763000.0,2022-04-05 00:12:43,2022 Volkswagen Golf GTI Long-Term Introduction: Is It Still Our Favorite Daily Driver?  https://t.co/yddN7F9qqT,en,[],[],https://twitter.com/roadshow/status/1511013907611230213,['https://trib.al/m1X2mjC'],[],0,,2,0,0
5,1511012247174369281,cleantechnica,1649088367000.0,2022-04-05 00:06:07,"Volkswagen Recalls More Than 100,000 PHEVs For Fire Risk  https://t.co/i68ESi74Gk",en,[],[],https://twitter.com/cleantechnica/status/1511012247174369281,['https://cleantechnica.com/2022/04/04/volkswagen-recalls-more-than-100000-phevs-for-fire-risk/'],[],0,,7,2,0
8,1511003572615405581,ABCWorldNews,1649086299000.0,2022-04-04 23:31:39,"BMW has halted production at two German factories. Mercedes is slowing work at its assembly plants. Volkswagen, warning of production stoppages, is looking for alternative sources for parts.  https://t.co/MDZrN1vBzz",en,[],[],https://twitter.com/ABCWorldNews/status/1511003572615405581,['https://abcn.ws/3J8G4oi'],[],0,,18,9,7
13,1510995786477232135,VfLWolfsburg_EN,1649084443000.0,2022-04-04 23:00:43,#UWCL semi-finals dates set 🗓  VfL Women to host Barcelona at the Volkswagen Arena on April 30th. 🏟  Read more ➡️  https://t.co/BegmB5dsAf  https://t.co/uJOydioUcc,en,['uwcl'],[],https://twitter.com/VfLWolfsburg_EN/status/1510995786477232135,['https://vfl.ink/EARCy'],['https://pbs.twimg.com/media/FPgiqTTXIAYRwBo.jpg'],1,https://pbs.twimg.com/media/FPgiqTTXIAYRwBo.jpg,9,0,1
14,1510995609276321792,BiIndia,1649084400000.0,2022-04-04 23:00:00,"#Volkswagen reveals Polo Legend Edition in India — Price, specifications and features   https://t.co/bw4WMByi7w  By @rahullko32",en,['volkswagen'],[],https://twitter.com/BiIndia/status/1510995609276321792,['https://www.businessinsider.in/stock-market/budget2016/manufacturing/auto/volkswagen-reveals-polo-legend-edition-in-india-price-specifications-and-features/slidelist/90640679.cms'],[],0,,1,0,0
15,1510994268478877700,TheDrum,1649084081000.0,2022-04-04 22:54:41,Volkswagen steps into the metaverse with an NFT treasure hunt  https://t.co/h2H2dvGWo4  https://t.co/hF3y6wOaXT,en,[],[],https://twitter.com/TheDrum/status/1510994268478877700,['http://dlvr.it/SMxdY7'],['https://pbs.twimg.com/media/FPghR7IVIAIxBE4.jpg'],1,https://pbs.twimg.com/media/FPghR7IVIAIxBE4.jpg,4,0,2
20,1510983023960813569,CarWale,1649081400000.0,2022-04-04 22:10:00,"Volkswagen India celebrates Polo’s 12 anniversary with the launch of the Polo Legend edition. Visually, the newly introduced Volkswagen Polo Legend edition gets side body graphics, black trunk garnish, and black roof foil to give it a sportier look.   #CWPhotos #VolkswagenPolo  https://t.co/SKmFJbWMNJ",en,"['cwphotos', 'volkswagenpolo']",[],https://twitter.com/CarWale/status/1510983023960813569,[],"['https://pbs.twimg.com/media/FPgI57qVgAAJ1YM.jpg', 'https://pbs.twimg.com/media/FPgI57rVkAcvrzQ.jpg', 'https://pbs.twimg.com/media/FPgI57sUcAUTU91.jpg', 'https://pbs.twimg.com/media/FPgI57rVkAIGhEU.jpg']",1,https://pbs.twimg.com/media/FPgI57qVgAAJ1YM.jpg,4,0,0
22,1510974381455216647,AS1F_IQ,1649079339000.0,2022-04-04 21:35:39,"@nirmaltv @PranavHegdeHere @volkswagenindia I’ve been a happy owner of the Volkswagen Vento for the past four years. Lower on features compared to Korean cars but the driving pleasure, power, and build quality is next to nothing.  https://t.co/c2pYNgKAJL",en,[],[],https://twitter.com/AS1F_IQ/status/1510974381455216647,[],['https://pbs.twimg.com/media/FPgPHOjaMAAFlf0.jpg'],1,https://pbs.twimg.com/media/FPgPHOjaMAAFlf0.jpg,0,2,0
24,1510973444086763526,ivanlajara,1649079116000.0,2022-04-04 21:31:56,"@Hudsonvalleykid @mark_marshall @DailyFreeman Checking on an accident report by Volkswagen dealership, if that's the one",en,[],[],https://twitter.com/ivanlajara/status/1510973444086763526,[],[],0,,0,1,0
27,1510969701702111238,Bradford_TandA,1649078224000.0,2022-04-04 21:17:04,Volkswagen Golf driver reported for speeding and overtaking in Keighley  https://t.co/i01N6VJCwg,en,[],[],https://twitter.com/Bradford_TandA/status/1510969701702111238,['http://dlvr.it/SMxKDC'],[],0,,0,0,0
