,id,username,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,thumbnail,nlikes,nreplies,nretweets
2,1511014063056240645,fox8news,1649088800000.0,2022-04-05 00:13:20,March sales of Volvo electric and plug-in hybrid cars in the U.S. were up 92 percent over the same period last year.  https://t.co/18RlVOsO6n,en,[],[],https://twitter.com/fox8news/status/1511014063056240645,['https://fox8.com/news/volvo-sees-continued-growth-of-electrified-cars-in-march/'],[],0,,3,1,0
3,1511008130791923718,LowyatNET,1649087386000.0,2022-04-04 23:49:46,"#Volvo #XC40Recharge Pure Electric SUV Now Available In Malaysia For RM262,460  @volvocars    https://t.co/J7P09BhJKH  https://t.co/hUuVXxC45f",en,"['volvo', 'xc40recharge']",[],https://twitter.com/LowyatNET/status/1511008130791923718,['http://lowy.at/YSrZu'],"['https://pbs.twimg.com/media/FPgttf2VIAE3iQQ.jpg', 'https://pbs.twimg.com/media/FPgttfzVgAcry-K.jpg', 'https://pbs.twimg.com/media/FPgt0x6VUAcENBJ.jpg']",1,https://pbs.twimg.com/media/FPgttf2VIAE3iQQ.jpg,3,0,0
4,1511007825161428992,evanderburg,1649087313000.0,2022-04-04 23:48:33,Volvo car sales tumble amid ongoing chip shortages  https://t.co/9YeCClnUMC,en,[],[],https://twitter.com/evanderburg/status/1511007825161428992,['http://i.securitythinkingcap.com/SMxphQ'],[],0,,0,0,0
5,1511007386286309376,TheRegister,1649087208000.0,2022-04-04 23:46:48,Volvo car sales tumble amid ongoing chip shortages  https://t.co/ZLyDtFH0jg,en,[],[],https://twitter.com/TheRegister/status/1511007386286309376,['https://reg.cx/43w5?utm_source=twitter&utm_medium=twitter&utm_campaign=auto&utm_content=article'],[],0,,6,1,2
6,1510999442731978753,volvocarsin,1649085314000.0,2022-04-04 23:15:14,"@subhashchahar @deepaliranaa @Jyoti_Malhotra @CNBC_Awaaz Thank you for your interest in Volvo Car India, Subhash. You may find all the details you need, including prices, right here:   https://t.co/02SqFlVRUu",en,[],[],https://twitter.com/volvocarsin/status/1510999442731978753,['https://bit.ly/3ml5WEU'],[],0,,0,0,0
7,1510997650908323844,VolvoTrucksUK,1649084887000.0,2022-04-04 23:08:07,🔵🔴 Mixing red and blue doesn't always have to make purple... it can also lead to some of the best liveries on our roads. 🔴🔵   Which other Volvo fleets run a mixed red/blue livery? Tweet us your pics!  https://t.co/eXPNjAX4UR,en,[],[],https://twitter.com/VolvoTrucksUK/status/1510997650908323844,[],"['https://pbs.twimg.com/media/FPgkVbAWQAQtLoE.jpg', 'https://pbs.twimg.com/media/FPgkVqPWUAUnNWe.jpg', 'https://pbs.twimg.com/media/FPgkWMaXwAQKITh.jpg', 'https://pbs.twimg.com/media/FPgkWaCWYAIvmAA.jpg']",1,https://pbs.twimg.com/media/FPgkVbAWQAQtLoE.jpg,19,0,3
11,1510990899005771783,Petercampbell1,1649083277000.0,2022-04-04 22:41:17,"@dan_grey Originally Polestar just did Volvo engine tuning (though, honestly, who buys a tuned up Volvo??), before their EV-reinvention.",en,[],[],https://twitter.com/Petercampbell1/status/1510990899005771783,[],[],0,,0,1,0
12,1510989354860118016,volvocarcanada,1649082909000.0,2022-04-04 22:35:09,"Extended range with reduced tailpipe emissions. The new Volvo XC60 Recharge Plug-In Hybrid let's you do more on electric.  Start shopping for the 2022 Volvo XC60 Recharge Plug-in Hybrid, now conveniently available online.  To view our April offers, visit:  https://t.co/weCHJdHVZ1  https://t.co/lyXYOhtAev",en,[],[],https://twitter.com/volvocarcanada/status/1510989354860118016,['https://volvoca.rs/3cMFGit'],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1510989319695056898/pu/img/38LP2rvoquxm_YQq.jpg,0,0,1
13,1510988795172298757,Petercampbell1,1649082776000.0,2022-04-04 22:32:56,"@dan_grey No, separate company, was the AMG of Volvo then turned into separate EV business and was spun out.   Currently part owned by Volvo, part by Geely.",en,[],[],https://twitter.com/Petercampbell1/status/1510988795172298757,[],[],0,,1,1,0
14,1510980077353381888,Nicolaj_Gericke,1649080697000.0,2022-04-04 21:58:17,"@MikeStuchbery_ Tbh, I'd prefer a volvo",en,[],[],https://twitter.com/Nicolaj_Gericke/status/1510980077353381888,[],[],0,,0,0,0
