,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512748290097491970,1512745035040804869,1649502272000.0,2022-04-09 19:04:32,+0800,,"@theniki94 nah BMW wouldn't re-enter, it's just kind of funny that there's this strange web of Audi/Merc/BMW - Nissan would be the most likely, they want a customer team (as do Porsche)",en,[],[],18684323,18684323,HSouthwellFE,Hazel Southwell,6,19,https://twitter.com/HSouthwellFE/status/1512748290097491970,[],[],0,,False,6,2,0,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,"[{'screen_name': 'theniki94', 'name': 'Rome Eprix Season 8 ❤️🤍', 'id': '77006175'}]",,,,
1,1512745036382937095,1512745035040804869,1649501496000.0,2022-04-09 18:51:36,+0800,,"(because McL are developing an EV platform with BMW, if rumours are to be believed. anyway, all of this is ✨speculation✨ of course)  (McL signed an agreement to explore an FE entry in January 2021, that bit's for sure &amp; it's all been quite quiet since but Gen3 comes soon...)",en,[],[],18684323,18684323,HSouthwellFE,Hazel Southwell,6,18,https://twitter.com/HSouthwellFE/status/1512745036382937095,[],[],0,,False,57,2,2,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
2,1512745035040804869,1512745035040804869,1649501496000.0,2022-04-09 18:51:36,+0800,,"the baffling web of German OEMs and McLaren rumours continue: looks likely McL will rebadge the current Merc FE team - they'd need a powertrain supplier for next year, though, since Merc are out. BMW would be the obvious except they are too...",en,[],[],18684323,18684323,HSouthwellFE,Hazel Southwell,6,18,https://twitter.com/HSouthwellFE/status/1512745035040804869,[],[],0,,False,137,6,7,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
3,1512740633655615494,1512740633655615494,1649500447000.0,2022-04-09 18:34:07,+0800,,"Scott Redding has been struggling and qualified in 16th for the #AragonWorldSBK.  BMW boss Shaun Muir tells @charliehiscott about the ""culture shock"" his new rider is experiencing.  https://t.co/XgrHZhsRCS",en,['aragonworldsbk'],[],25268540,25268540,eurosport,Eurosport,6,18,https://twitter.com/eurosport/status/1512740633655615494,[],[],1,https://pbs.twimg.com/media/FP5VjpqX0AEsZ7s.jpg,False,4,0,0,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
4,1512557992725594124,1512166023012790279,1649456902000.0,2022-04-09 06:28:22,+0800,,"@wyldcdn They were, but they're not pursuing it now. BMW is still toying with the idea. Tell you what, I'll bet you £2,000 that there are more BEVs on the roads than FCEVs by 2030. Up for it?",en,[],[],18633429,18633429,Cyberwest,Dr James Morris,6,06,https://twitter.com/Cyberwest/status/1512557992725594124,[],[],0,,False,0,0,0,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,"[{'screen_name': 'wyldcdn', 'name': 'Glen 🇨🇦', 'id': '56603141'}]",,,,
5,1512435703598268420,1512435703598268420,1649427746000.0,2022-04-08 22:22:26,+0800,,"WHEELIES UP! Corrin Eaton will be taking on a cycling challenge to raise money and awareness of supporting men's mental health.   Corrin talks about how he loves a challenge in this video!  Thanks to sponsors @BMW_Ipswich, @TheHolliesKes and @LingsMeadow  https://t.co/KqFyo8vpOX",en,[],[],138041167,138041167,SuffolkLibrary,Suffolk Libraries UK,5,22,https://twitter.com/SuffolkLibrary/status/1512435703598268420,['https://www.youtube.com/watch?v=IhkhDMIH8fE'],[],0,,False,2,0,2,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
6,1512122668732100618,1512122668732100618,1649353112000.0,2022-04-08 01:38:32,+0800,,BMW driver who injured pensioner when his car ploughed through her wall facing jail  https://t.co/5EpszpS8GP,en,[],[],20779110,20779110,YahooNewsUK,Yahoo News UK,5,01,https://twitter.com/YahooNewsUK/status/1512122668732100618,['https://uk.news.yahoo.com/bmw-driver-who-injured-92-year-old-woman-when-his-car-ploughed-through-her-wall-facing-jail-172459949.html'],[],0,,False,0,0,0,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
7,1512052611549212675,1512052611549212675,1649336409000.0,2022-04-07 21:00:09,+0800,,TG's electric lifetime achievement award: the BMW i3 →  https://t.co/6ZQnGUldFz  https://t.co/w43jVSTcAv,en,[],[],52344859,52344859,BBC_TopGear,Top Gear,4,21,https://twitter.com/BBC_TopGear/status/1512052611549212675,['https://www.topgear.com/car-news/electric-awards-2022/tgs-electric-lifetime-achievement-award-bmw-i3'],['https://pbs.twimg.com/media/FPvj1FmX0AA4si1.jpg'],1,https://pbs.twimg.com/media/FPvj1FmX0AA4si1.jpg,False,70,5,7,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
8,1512003504621203456,1511985190394109953,1649324701000.0,2022-04-07 17:45:01,+0800,,"@jetlbomb Lots of great suggestions already. I'll throw in one for the E88-gen BMW 125i. Great 3.0-litre six, auto/manual options, RWD, easy to live and maintain, well supported, lots of kit (get one with xenons for enjoyable night drives), sensible size, etc.   https://t.co/ywvz7cOh22  https://t.co/v36iT0uyFh",en,[],[],84637834,84637834,theseoldcars,Lewis Kingston,4,17,https://twitter.com/theseoldcars/status/1512003504621203456,['https://autotrader.co.uk/car-details/202203133511641'],['https://pbs.twimg.com/media/FPu3FdXWUAEibcp.jpg'],1,https://pbs.twimg.com/media/FPu3FdXWUAEibcp.jpg,False,28,7,0,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,"[{'screen_name': 'jetlbomb', 'name': 'Jess Shanahan', 'id': '24533560'}]",,,,
9,1511977082368135171,1511977082368135171,1649318402000.0,2022-04-07 16:00:02,+0800,,REVIEW: We drive prototype versions of the new V8-powered BMW 7 Series and all-electric i7…&gt;&gt;  https://t.co/g7MJHQTRzZ  https://t.co/Oc2Jx2Kk5Q,en,[],[],21852165,21852165,AutoExpress,Auto Express,4,16,https://twitter.com/AutoExpress/status/1511977082368135171,['https://aex.ae/3JdSnQd'],['https://pbs.twimg.com/media/FPpp7EsX0AM807B.jpg'],1,https://pbs.twimg.com/media/FPpp7EsX0AM807B.jpg,False,9,0,2,,bmw OR BMW,,"51.509865,-0.118092,200km",,,,,[],,,,
