,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512774937878089733,1512774937878089733,1649508625000.0,2022-04-09 20:50:25,+0800,,Elon Musk: Humanoider #Roboter Tesla Optimus ab 2023 geplant  https://t.co/IiFzMt9BV9,de,['roboter'],[],8724992,8724992,golem,Golem.de,6,20,https://twitter.com/golem/status/1512774937878089733,['https://glm.io/164525?s'],[],0,,False,4,1,2,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
1,1512773506127351809,1512773506127351809,1649508284000.0,2022-04-09 20:44:44,+0800,,"Elon Musk ist bekannt für seinen Mikromanagement-Ansatz und er fackelt nicht lang, bevor er Angestellten kündigt. Bei Tesla-Managern ist er noch härter.  https://t.co/HYXKO2GjVz",de,[],[],3344215161,3344215161,BIDeutschland,Business Insider 🇩🇪,6,20,https://twitter.com/BIDeutschland/status/1512773506127351809,['https://zpr.io/BT7B2HJUfC9z'],[],0,,False,1,0,0,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
2,1512663210331152384,1512663210331152384,1649481987000.0,2022-04-09 13:26:27,+0800,,Nicht nur #Tesla kann Tempo. Erstes LNG-Terminal in Wilhelmshaven soll schon Ende 2022 fertig werden -  https://t.co/hX9UBTr6jr ? @handelsblatt #Ukraine #Putin #gas #Habeck @UniperGermany #LNG,de,"['tesla', 'ukraine', 'putin', 'gas', 'habeck', 'lng']",[],841207826148151296,841207826148151296,ThomasSigmund,Thomas Sigmund,6,13,https://twitter.com/ThomasSigmund/status/1512663210331152384,['https://www.handelsblatt.com/28235874.html'],[],0,,False,66,9,22,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
3,1512526728907927559,1512526728907927559,1649449448000.0,2022-04-09 04:24:08,+0800,,Marktbericht: US-Märkte ohne klare Richtung  https://t.co/RG98pQwrWU #Marktbericht #Börse #DAX #DowJones #Tesla #Ölpreis #Goldpreis #Russland,de,"['marktbericht', 'börse', 'dax', 'dowjones', 'tesla', 'ölpreis', 'goldpreis', 'russland']",[],5734902,5734902,tagesschau,tagesschau,6,04,https://twitter.com/tagesschau/status/1512526728907927559,['http://www.tagesschau.de/wirtschaft/finanzen/marktberichte/marktbericht-dax-dow-oel-gold-tesla-formel-1-101.html'],[],0,,False,14,5,2,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
4,1512521196230877184,1512521196230877184,1649448129000.0,2022-04-09 04:02:09,+0800,,Knapp hinter #Tesla hat es #VW geschafft. Auch #BMW und #Mercedes sind unter den Top 10 der #CamStudie: Allerdings sind sie auf den hinteren Plätzen gelandet.  https://t.co/gb83mwBzhz,de,"['tesla', 'vw', 'bmw', 'mercedes', 'camstudie']",[],11060982,11060982,t3n,t3n Magazin,6,04,https://twitter.com/t3n/status/1512521196230877184,['https://t3n.de/news/tesla-holt-platz-1-us-autobauer-1465022/'],[],0,,False,1,0,0,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
5,1512507863482220553,1512507863482220553,1649444950000.0,2022-04-09 03:09:10,+0800,,"Auch wenn Tesla im vergangenen Jahr die Bitcoin-Entscheidung revidiert hatte, bleibt das Unternehmen weiterhin an Kryptowährungen interessiert. Die Unternehmen Blockstream und Block wollen nun mithilfe von Tesla ein Bitcoin-Mining-Zentrum aufbauen.  https://t.co/OvIAn5tLuf",de,[],[],11060982,11060982,t3n,t3n Magazin,6,03,https://twitter.com/t3n/status/1512507863482220553,['https://t3n.de/news/blockstream-block-planen-tesla-1465156/'],[],0,,False,1,0,0,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
6,1512484449572823042,1512484449572823042,1649439368000.0,2022-04-09 01:36:08,+0800,,Jack Dorseys Block plant Bitcoin-Schürfzentrum mit Solarstrom und Tesla-Akkus  https://t.co/1P5NMa2iak #Mining #Bitcoin,de,"['mining', 'bitcoin']",[],3197921,3197921,heiseonline,heise online,6,01,https://twitter.com/heiseonline/status/1512484449572823042,['https://www.heise.de/news/Jack-Dorseys-Block-plant-Bitcoin-Schuerfzentrum-mit-Solarstrom-und-Tesla-Akkus-6667521.html'],[],0,,False,7,0,2,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
7,1512469629096013824,1512469629096013824,1649435834000.0,2022-04-09 00:37:14,+0800,,"Tesla Model 3 (2022): Preis, Reichweite, Innenraum, Leasing Tesla Model 3 - meistverkauftes E-Auto der Welt jetzt deutlich teurer  https://t.co/L4tmdbcCGT  https://t.co/TeTrstIePu",de,[],[],21862844,21862844,autobild,AUTO BILD,6,00,https://twitter.com/autobild/status/1512469629096013824,['http://dlvr.it/SNDGdD'],['https://pbs.twimg.com/media/FP1fHLSVsAEE6Z7.jpg'],1,https://pbs.twimg.com/media/FP1fHLSVsAEE6Z7.jpg,False,1,0,0,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
8,1512464093147455494,1512464093147455494,1649434514000.0,2022-04-09 00:15:14,+0800,,Marktbericht: Ende der Verlustserie  https://t.co/RG98pQwrWU #Marktbericht #Börse #DAX #DowJones #Tesla #Ölpreis #Goldpreis #Russland #VW,de,"['marktbericht', 'börse', 'dax', 'dowjones', 'tesla', 'ölpreis', 'goldpreis', 'russland', 'vw']",[],5734902,5734902,tagesschau,tagesschau,6,00,https://twitter.com/tagesschau/status/1512464093147455494,['http://www.tagesschau.de/wirtschaft/finanzen/marktberichte/marktbericht-dax-dow-oel-gold-tesla-formel-1-101.html'],[],0,,False,18,2,0,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
9,1512460857799847936,1512460857799847936,1649433743000.0,2022-04-09 00:02:23,+0800,,"Neben vielen neuen Autos plant Tesla auch den Produktionsstart eines Roboters, eines Lkws und eines Robotaxis.  https://t.co/S8exsYD1Qm",de,[],[],11060982,11060982,t3n,t3n Magazin,6,00,https://twitter.com/t3n/status/1512460857799847936,['https://t3n.de/news/cyber-rodeo-teslas-plaene-optimus-shuttle-robotaxi-cybertruck-1464838/'],[],0,,False,1,0,0,,tesla OR Tsla,,"52.520008,13.404954,500km",,,,,[],,,,
