,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512690524817264646,1512690524817264646,1649488500000.0,2022-04-09 15:15:00,+0800,,"After 12 years in production, Volkswagen has finally pulled the plug on the Polo hatchback. The company, on its social media handles, has shared a symbolic and emotional first-person letter from Polo to its customers. Here are more details. #VolkswagenPolo  https://t.co/hCRZSk0ZIt",en,['volkswagenpolo'],[],3181372676,3181372676,NewsBytesApp,NewsBytes,6,15,https://twitter.com/NewsBytesApp/status/1512690524817264646,['https://www.newsbytesapp.com/news/auto/volkswagen-polo-s-production-ends-in-india/story'],[],0,,False,2,0,0,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
1,1512377095690719235,1512377095690719235,1649413772000.0,2022-04-08 18:29:32,+0800,,"Priced at Rs 10.25 lakh, #Volkswagen launched a special edition of its #hatchback, #PoloLegend, to mark 12 years of the model in India. @volkswagenindia @VW @VWGroup  https://t.co/SJ0yiSs3vC",en,"['volkswagen', 'hatchback', 'pololegend']",[],36323511,36323511,ETPanache,ET Panache,5,18,https://twitter.com/ETPanache/status/1512377095690719235,['https://bit.ly/3jgwBAz'],[],0,,False,1,0,1,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
2,1512323987937890304,1512323987937890304,1649401111000.0,2022-04-08 14:58:31,+0800,,"Sponsored: The Volkswagen Taigun has much to marvel on! Volkswagen sets a fine precedent for all its vehicles and the Taigun is no different. But global standards aside this SUV is also made-in-India, making it fine-tuned for our roads. Find more on our website!  https://t.co/RGM9YUzJnB",en,[],[],2278822326,2278822326,carandbike,carandbike,5,14,https://twitter.com/carandbike/status/1512323987937890304,[],[],1,https://pbs.twimg.com/ext_tw_video_thumb/1512323837651820544/pu/img/8W5tdFV0t-X8R6KV.jpg,False,1513,9,80,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
3,1512123071674855427,1512123071674855427,1649353208000.0,2022-04-08 01:40:08,+0800,,"Volkswagen, Porsche and Audi open to entering Formula One  https://t.co/oCKW3ytI88",de,[],[],30848360,30848360,TOISportsNews,TOI Sports News,5,01,https://twitter.com/TOISportsNews/status/1512123071674855427,['http://toi.in/3e13AZ'],[],0,,False,1,0,0,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
4,1512121072262340618,1512121072262340618,1649352732000.0,2022-04-08 01:32:12,+0800,,"#F1 #Volkswagen #Porsche #Audi   Volkswagen, Porsche and Audi open to entering Formula One  READ:  https://t.co/3Krb1eSMxa  https://t.co/WnidmdbvpV",en,"['f1', 'volkswagen', 'porsche', 'audi']",[],128555221,128555221,toisports,TOI Sports,5,01,https://twitter.com/toisports/status/1512121072262340618,['http://toi.in/r9QtGY/a24gk'],['https://pbs.twimg.com/media/FPwiEhPUYBA1JWg.jpg'],1,https://pbs.twimg.com/media/FPwiEhPUYBA1JWg.jpg,False,7,0,1,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
5,1510995609276321792,1510995609276321792,1649084400000.0,2022-04-04 23:00:00,+0800,,"#Volkswagen reveals Polo Legend Edition in India — Price, specifications and features   https://t.co/bw4WMByi7w  By @rahullko32",en,['volkswagen'],[],1612504999,1612504999,BiIndia,Business Insider India🇮🇳,1,23,https://twitter.com/BiIndia/status/1510995609276321792,['https://www.businessinsider.in/stock-market/budget2016/manufacturing/auto/volkswagen-reveals-polo-legend-edition-in-india-price-specifications-and-features/slidelist/90640679.cms'],[],0,,False,2,0,0,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
6,1510945680210087936,1510945680210087936,1649072496000.0,2022-04-04 19:41:36,+0800,,Volkswagen India marks 12 years of Polo with ‘Legend’ priced at INR 10.25 lakh   https://t.co/A2xvGitkLM  @volkswagenindia #VWPolo #PoloLegendEdition #newlaunche #legendeditionprice #legendeditionfeatures #12yearsofPolo,en,"['vwpolo', 'pololegendedition', 'newlaunche', 'legendeditionprice', 'legendeditionfeatures', '12yearsofpolo']",[],81096591,81096591,ETAuto,ET Auto,1,19,https://twitter.com/ETAuto/status/1510945680210087936,['https://auto.economictimes.indiatimes.com/news/passenger-vehicle/cars/volkswagen-india-marks-12-years-of-polo-with-legend-priced-at-inr-10-25-lakh/90642871'],[],0,,False,0,0,0,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
7,1510919316677750791,1510919316677750791,1649066211000.0,2022-04-04 17:56:51,+0800,,"#Volkswagen ने भारतीय बाजार में पेश किया #PoloLegendEdition, 10.25 लाख रुपये है एक्स-शोरूम कीमत   https://t.co/9NyXp5LNyf",hi,"['volkswagen', 'pololegendedition']",[],927426236137201664,927426236137201664,TNNavbharat,Times Now Navbharat,1,17,https://twitter.com/TNNavbharat/status/1510919316677750791,['https://www.timesnowhindi.com/auto/article/volkeswagen-polo-legend-edition-launched-in-india-check-price/397676'],[],0,,False,2,0,1,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
8,1510915334433546240,1510915334433546240,1649065261000.0,2022-04-04 17:41:01,+0800,,🚘 The launch of the 'Legend' edition is the last hurrah for the sixth-gen Volkswagen Polo in India after a 12-year-long production run; only 700 units will be available  @volkswagenindia   https://t.co/QrpGgxx1zo,en,[],[],633485882,633485882,News9Tweets,News9,1,17,https://twitter.com/News9Tweets/status/1510915334433546240,['https://www.news9live.com/auto/volkswagen-polo-production-ends-with-legend-edition-launch-only-700-units-available-162709'],[],0,,False,2,0,1,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
9,1510908388787429378,1510908388787429378,1649063605000.0,2022-04-04 17:13:25,+0800,,Volkswagen Polo bids adieu to Indian market with 'Legend' edition #Volkswagen    https://t.co/fa7RvsoR2z,en,['volkswagen'],[],3181372676,3181372676,NewsBytesApp,NewsBytes,1,17,https://twitter.com/NewsBytesApp/status/1510908388787429378,['https://twitter.com/i/events/1510908082213163013'],[],0,,False,1,0,0,,volkswagen OR Volkswagen,,"28.644800,77.216721,500km",,,,,[],,,,
