,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
0,1.51E+18,Envisager_, ,1.64857E+12,2022-03-29T23:49:40Z,@axelk Not got it yet but we have the BMW 330e on order. Rushed to get the charger installed this week as there's a government grant towards them that expires at the end of the week.,en,[],[],https://twitter.com/Envisager_/status/1508833778118139910,[],[],0,1,1,0
1,1.51E+18,23ABCNews, ,1.64857E+12,2022-03-29T23:45:26Z,UPDATE: CHP said a man was killed Monday night after accelerating his car rapidly in the rain caused him to lose control of his 2009 BMW and veer into the opposite lane of traffic and crash in a Ford in Northwest Bakersfield.  https://t.co/N9cxzMbWaZ,en,[],[],https://twitter.com/23ABCNews/status/1508832715868672007,['https://www.turnto23.com/news/local-news/one-person-is-dead-in-a-crash-in-northwest-bakersfield'],[],0,0,0,0
2,1.51E+18,BsiflingTrades, ,1.64857E+12,2022-03-29T23:31:36Z,@AdamBankz @K98ssr @NFTMINESE @HungryforGainsn @MaserArt @fiyahmarshall @WHITELIST_PASS @DarkArtMentor @AbhiramBangaru @MyNameIsJeff @adamsmoot @mregfx @Cyberpunks_ @irfanjunejo @DinoMonks @NFTExHunter @Harrison_BMW Scam,en,[],[],https://twitter.com/BsiflingTrades/status/1508829233589547009,[],[],0,1,0,0
3,1.51E+18,CloseHouseGolf, ,1.64857E+12,2022-03-29T23:30:05Z,"Another incredible Close House VIP car delivered by our corporate partners @NewcastleBMW A beautiful BMW 840i Gran Coupe M Sport! Thanks for your continued support and fantastic service, as ever #bmw #vip #dreamcar  https://t.co/4n023VDCzY",en,"['bmw', 'vip', 'dreamcar']",[],https://twitter.com/CloseHouseGolf/status/1508828850557497344,[],['https://pbs.twimg.com/media/FPBv1x2WQA49E4s.jpg'],1,7,0,0
4,1.51E+18,GadgetFlow, ,1.64857E+12,2022-03-29T23:30:03Z,"The @BMW Motorrad Definition CE 04 sit-on #eScooter  https://t.co/IVum8idgu9 Made to serve both your transportation and communication needs, this electric scooter blends your analog and digital worlds. #Transportation  https://t.co/p4ocPQNhbt",en,"['escooter', 'transportation']",[],https://twitter.com/GadgetFlow/status/1508828842634489859,['https://thegadgetflow.com/portfolio/bmw-motorrad-definition-ce04-escooter/'],['https://pbs.twimg.com/media/FPBv1chX0AcuHfs.jpg'],1,0,0,0
5,1.51E+18,TheBoltonNews, ,1.64857E+12,2022-03-29T23:02:47Z,'A tragedy for all concerned': Speeding driver killed partner when BMW plunged through roundabout  https://t.co/xGO8NIpApO,en,[],[],https://twitter.com/TheBoltonNews/status/1508821981529001985,['https://www.theboltonnews.co.uk/news/20029304.a-tragedy-concerned-speeding-driver-killed-partner-bmw-plunged-roundabout/?ref=twtrec'],[],0,1,0,1
6,1.51E+18,BMW_UK, ,1.64856E+12,2022-03-29T22:33:05Z,"@lynpaul6 Hi Lyn, we're sorry to hear your BMW's in for repairs. If you can DM us with your registration and which BMW Centre your car's in, we'll be happy to look into this for you.",en,[],[],https://twitter.com/BMW_UK/status/1508814508428607494,[],[],0,0,2,0
7,1.51E+18,BMW_UK, ,1.64856E+12,2022-03-29T22:32:47Z,"@andy_n_51 Hi Andy, thanks for letting us know about this. It looks like @LynPaul6 may have tagged BMW Germany in her Tweet. If Lyn can DM us on our BMW-UK Twitter page, we'll be happy to help where we can.",en,[],[],https://twitter.com/BMW_UK/status/1508814432490692612,[],[],0,0,0,0
8,1.51E+18,CarWale, ,1.64856E+12,2022-03-29T22:30:00Z,"In our book, the new, made-in-India BMW M340i is all the 3 Series you’d ever want or need. It is luxurious, quiet, and comfortable. It rides beautifully, sounds gorgeous, and revs effortlessly.  #CWPhotos #Cars2022 #Carlife #Carlifestyle #Cars #BMWM340i #M340i #BMW #BMWCars  https://t.co/aGKIaJUZ1W",en,"['cwphotos', 'cars2022', 'carlife', 'carlifestyle', 'cars', 'bmwm340i', 'm340i', 'bmw', 'bmwcars']",[],https://twitter.com/CarWale/status/1508813729726668807,[],"['https://pbs.twimg.com/media/FPBGaVtakAM1Z_a.jpg', 'https://pbs.twimg.com/media/FPBGaVvagAs3dM2.jpg', 'https://pbs.twimg.com/media/FPBGaV5aMAQ_r5O.jpg', 'https://pbs.twimg.com/media/FPBGaV7aIAsuJFn.jpg']",1,1,0,0
9,1.51E+18,whatcar, ,1.64856E+12,2022-03-29T21:30:00Z,"Style and substance collide as we pit the @BMW_UK X2 and @VolvoCarUK XC40 head-to-head. These two family SUVs could be yours for around £25,000 each when used 🤔🤯   https://t.co/7lT2ocbO09  https://t.co/tMw0cYT20S",en,[],[],https://twitter.com/whatcar/status/1508798630089531394,['https://bit.ly/3iI9MWw'],['https://pbs.twimg.com/media/FO8vEzsXMAEU-kY.jpg'],1,1,0,1
