,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512700668431278080,1512700668431278080,1649490918000.0,2022-04-09 15:55:18,+0800,,"Busy campaigning, as are many @lnconservatives across the City. Taken a few photos over recent weeks of ‘cars’ but the mid-renovation @VW Campervan (ramps were other side) &amp; quite early this AM what looked like a modern daily driver @BMW_UK 8 series, are 2 stand-outs. 🚗🚙😇👍  https://t.co/nULst1S8LJ",en,[],[],26796376,26796376,karlmccartney,Karl McCartney,6,15,https://twitter.com/karlmccartney/status/1512700668431278080,[],"['https://pbs.twimg.com/media/FP4xOnLXMAAC_fA.jpg', 'https://pbs.twimg.com/media/FP4xOnUX0AIQ4Q6.jpg']",1,https://pbs.twimg.com/media/FP4xOnLXMAAC_fA.jpg,False,0,0,0,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
1,1512611253742620673,1512611253742620673,1649469600000.0,2022-04-09 10:00:00,+0800,,A Utah Highway Patrol trooper arrested a BMW driver who is accused of passing cars at 126 mph.  https://t.co/2cVSNMEHtL,en,[],[],21322076,21322076,ABC7Amarillo,ABC 7 Amarillo,6,10,https://twitter.com/ABC7Amarillo/status/1512611253742620673,['https://abc7amarillo.com/news/nation-world/utah-trooper-nabs-bmw-driver-accused-of-passing-cars-at-126-mph-with-suspended-license-04-08-2022'],[],0,,False,0,0,0,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
2,1512596157360271362,1512596157360271362,1649466001000.0,2022-04-09 09:00:01,+0800,,A Utah Highway Patrol trooper arrested a BMW driver who is accused of passing cars at 126 mph.  https://t.co/TUbK7qgLIX,en,[],[],30868693,30868693,OKCFOX,KOKH FOX 25,6,09,https://twitter.com/OKCFOX/status/1512596157360271362,['https://bit.ly/3DRAaqC'],[],0,,False,0,0,0,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
3,1512590361562132482,1512590361562132482,1649464619000.0,2022-04-09 08:36:59,+0800,,"Found it!! An Aussie tie in to Scheffler’s hot start!!   Last player to win four times in a six-start stretch on the PGA TOUR: Jason Day, 2015 (4 in 6: RBC Canadian Open, PGA Championship, FedEx St. Jude Championship, BMW Championship) 🤪😂",en,[],[],243449020,243449020,BEverillPGATOUR,Ben Everill,6,08,https://twitter.com/BEverillPGATOUR/status/1512590361562132482,[],[],0,,False,14,4,3,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
4,1512566457854357506,1512566457854357506,1649458920000.0,2022-04-09 07:02:00,+0800,,2022 BMW M3 Competition xDrive walk-around.  https://t.co/YbU9A7E9ul,en,[],[],16665516,16665516,therealautoblog,Autoblog,6,07,https://twitter.com/therealautoblog/status/1512566457854357506,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1511415864893054979/img/0jP3k_WpdsXx4inb.jpg,False,19,0,3,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
5,1512520659473211397,1512520659473211397,1649448001000.0,2022-04-09 04:00:01,+0800,,Investigators said 17-year-old Noah Galle of Florida was driving 151 miles per hour in a BMW when he hit the back of an SUV. The crash killed six people.  https://t.co/nIAiGU0Tsn,en,[],[],30868693,30868693,OKCFOX,KOKH FOX 25,6,04,https://twitter.com/OKCFOX/status/1512520659473211397,['https://bit.ly/3ulY5Lv'],[],0,,False,0,0,1,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
6,1512469072834879500,1512469072834879500,1649435701000.0,2022-04-09 00:35:01,+0800,,"Congrats to Lyn in San Diego who made the #SwitchToVroom and had this BMW M550i delivered straight to him. With Vroom, you can search thousands of vehicles (including hundreds of BMWs) and buy your next ride entirely online.  https://t.co/Ic8j5Y4GAE",en,['switchtovroom'],[],1116699248,1116699248,vroomcars,Vroom,6,00,https://twitter.com/vroomcars/status/1512469072834879500,[],['https://pbs.twimg.com/media/FP1emqsXIAE3IAP.jpg'],1,https://pbs.twimg.com/media/FP1emqsXIAE3IAP.jpg,False,7,6,0,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
7,1512455401211576328,1512455401211576328,1649432442000.0,2022-04-08 23:40:42,+0800,,A Utah Highway Patrol trooper arrested a BMW driver who is accused of passing cars at 126 mph.  https://t.co/MuTIhQPIUN,en,[],[],15145111,15145111,KTULNews,NewsChannel 8 | KTUL,5,23,https://twitter.com/KTULNews/status/1512455401211576328,['https://ktul.com/news/nation-world/utah-trooper-nabs-bmw-driver-accused-of-passing-cars-at-126-mph-with-suspended-license-04-08-2022'],[],0,,False,0,0,0,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
8,1512443678249291780,1512443678249291780,1649429647000.0,2022-04-08 22:54:07,+0800,,"Monday evening, this woman vandalized another vehicle in the Edmond North High School parking lot during a districtwide 6th grade chorus concert. She was driving a white BMW. She caused about $2K in damage. Can you ID her? We know she attended the concert. Call  405-359-4338.  https://t.co/Qxb8cQ40pF",en,[],[],609253515,609253515,EdmondPD,Edmond Police Dept,5,22,https://twitter.com/EdmondPD/status/1512443678249291780,[],"['https://pbs.twimg.com/media/FP1GNfTUYAEkiNx.jpg', 'https://pbs.twimg.com/media/FP1GR8aVsAAfNxg.jpg', 'https://pbs.twimg.com/media/FP1HIJFVgAAbreI.jpg', 'https://pbs.twimg.com/media/FP1HIJTVgAAWQOv.jpg']",1,https://pbs.twimg.com/media/FP1GNfTUYAEkiNx.jpg,False,5,1,9,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
9,1512259728952348674,1512259728952348674,1649385790000.0,2022-04-08 10:43:10,+0800,,"The crash happened January in Delaray Beach, Fla., Investigators said 17-year-old Noah Galle was driving 151 miles per hour in a BMW when he hit the back of a Nissan rogue SUV.  https://t.co/8B9gRr6Yxp",en,[],[],15145111,15145111,KTULNews,NewsChannel 8 | KTUL,5,10,https://twitter.com/KTULNews/status/1512259728952348674,['https://ktul.com/news/nation-world/teen-driver-going-151-mph-before-deadly-crash-in-delray-beach-pbso-nissan-rogue-suv-bmw-marie-michelle-louis-noah-gale'],[],0,,False,1,0,0,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
10,1511851639862345728,1508918279896657921,1649288494000.0,2022-04-07 07:41:34,+0800,,@OatieMeal @BMW @BMWUSA Not sure if we've ever seen a cuter co-pilot!😎 ❤️,en,[],[],334293735,334293735,MINIUSA,MINI USA,4,07,https://twitter.com/MINIUSA/status/1511851639862345728,[],[],0,,False,6,1,2,,bmw OR BMW,,"38.50,-98.0,500km",,,,,"[{'screen_name': 'OatieMeal', 'name': 'Oatie Meal', 'id': '1176994107337478144'}, {'screen_name': 'BMW', 'name': 'BMW', 'id': '1545994664'}, {'screen_name': 'BMWUSA', 'name': 'BMW USA', 'id': '186439704'}]",,,,
11,1511728875864268802,1511728875864268802,1649259225000.0,2022-04-06 23:33:45,+0800,,2022 BMW M3 Competition xDrive and 2022 Cadillac CT4-V Blackwing side-by-side. Which one would you rather drive?  https://t.co/r5LCwBrb4u,en,[],[],16665516,16665516,therealautoblog,Autoblog,3,23,https://twitter.com/therealautoblog/status/1511728875864268802,[],[],1,https://pbs.twimg.com/media/FPq9TlqXMAIF-JA.jpg,False,28,5,4,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
12,1511686156940894215,1511686156940894215,1649249040000.0,2022-04-06 20:44:00,+0800,,"BMW's 2 Series offerings include the 228i and M235i xDrive Gran Coupes on one end and the 230i and M240i xDrive Coupes at the other. If you want a traditional BMW driving experience, you definitely want the two-door Coupe.  https://t.co/sRrOgLzCSH",en,[],[],16665516,16665516,therealautoblog,Autoblog,3,20,https://twitter.com/therealautoblog/status/1511686156940894215,[],[],1,https://pbs.twimg.com/amplify_video_thumb/1511414847988195336/img/3RdEDQp8d_4ggkgd.jpg,False,16,0,4,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
13,1511020729478914048,1511020729478914048,1649090389000.0,2022-04-05 00:39:49,+0800,,Our 2022 BMW 330e xDrive trades overall range for electric range:  https://t.co/c6U0tueIS4  https://t.co/nOXSlcpx0d,en,[],[],16665516,16665516,therealautoblog,Autoblog,2,00,https://twitter.com/therealautoblog/status/1511020729478914048,['http://bit.ly/37eFdFp'],['https://pbs.twimg.com/media/FPg5V35WUAgGuwW.jpg'],1,https://pbs.twimg.com/media/FPg5V35WUAgGuwW.jpg,False,20,2,3,,bmw OR BMW,,"38.50,-98.0,500km",,,,,[],,,,
