,id,username,geo,created_at,date,tweet,language,hashtags,cashtags,link,urls,photos,video,nlikes,nreplies,nretweets
0,1.51E+18,VfLWolfsburg_EN,Germany,1.64951E+12,2022-04-09T21:30:49Z,⏱️ 1' | KICKOFF 👟⚽️  And we're underway from the Volkswagen Arena!   HUGE match today! Come on Wolves! 🐺   #WOBDSC | 0-0   #VfLWolfsburg 🟢⚪️  https://t.co/YBPuU0udnd,en,"['wobdsc', 'vflwolfsburg']",[],https://twitter.com/VfLWolfsburg_EN/status/1512785104862597126,[],['https://pbs.twimg.com/media/FP58fJ8WQAQK8wN.jpg'],1,3,0,0
1,1.51E+18,Telegraph,France,1.64951E+12,2022-04-09T21:12:20Z,🚗Volkswagen's plan to focus on more profitable vehicles and the electric push risks pricing the middle classes out of motoring  https://t.co/yyQPGwRK5b,en,[],[],https://twitter.com/Telegraph/status/1512780452356104200,['https://www.telegraph.co.uk/business/2022/04/08/affordable-family-car-endangered-species/?utm_content=telegraph&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1649508526-1'],[],0,5,2,10
2,1.51E+18,karlmccartney,USA,1.64949E+12,2022-04-09T15:55:18Z,"Busy campaigning, as are many @lnconservatives across the City. Taken a few photos over recent weeks of ‘cars’ but the mid-renovation @VW Campervan (ramps were other side) &amp; quite early this AM what looked like a modern daily driver @BMW_UK 8 series, are 2 stand-outs. 🚗🚙😇👍  https://t.co/nULst1S8LJ",en,[],[],https://twitter.com/karlmccartney/status/1512700668431278080,[],"['https://pbs.twimg.com/media/FP4xOnLXMAAC_fA.jpg', 'https://pbs.twimg.com/media/FP4xOnUX0AIQ4Q6.jpg']",1,0,0,0
3,1.51E+18,NewsBytesApp,India,1.64949E+12,2022-04-09T15:15:00Z,"After 12 years in production, Volkswagen has finally pulled the plug on the Polo hatchback. The company, on its social media handles, has shared a symbolic and emotional first-person letter from Polo to its customers. Here are more details. #VolkswagenPolo  https://t.co/hCRZSk0ZIt",en,['volkswagenpolo'],[],https://twitter.com/NewsBytesApp/status/1512690524817264646,['https://www.newsbytesapp.com/news/auto/volkswagen-polo-s-production-ends-in-india/story'],[],0,2,0,0
4,1.51E+18,Cyberwest,UK,1.64945E+12,2022-04-09T05:41:17Z,@wyldcdn Volkswagen disagrees with you too:  https://t.co/ygNqEgNI31,en,[],[],https://twitter.com/Cyberwest/status/1512546146685751309,['https://www.volkswagenag.com/en/news/stories/2020/03/battery-or-fuel-cell--that-is-the-question.html#'],[],0,0,1,0
5,1.51E+18,telebusiness,France,1.64945E+12,2022-04-09T05:28:29Z,Volkswagen's plan to focus on more profitable vehicles and the electric push risks pricing the middle classes out of motoring   https://t.co/HZIHuqSxXN,en,[],[],https://twitter.com/telebusiness/status/1512542925569372160,['https://www.telegraph.co.uk/business/2022/04/08/affordable-family-car-endangered-species/?utm_content=business&utm_medium=Social&utm_campaign=Echobox&utm_source=Twitter#Echobox=1649414263'],[],0,1,0,2
6,1.51E+18,nicola_news,Germany,1.64942E+12,2022-04-08T20:13:39Z,#Volkswagen looking to secure more EV #battery production in the U.S.  https://t.co/6JI7ERBte6 via @business @MonicaRaymunt @mattmiller1973,en,"['volkswagen', 'battery']",[],https://twitter.com/nicola_news/status/1512403296832602118,['https://www.bloomberg.com/news/articles/2022-04-07/volkswagen-scouts-for-more-u-s-battery-output-for-ev-push?sref=dTvjYH8K'],[],0,2,0,2
7,1.51E+18,ETPanache,India,1.64941E+12,2022-04-08T18:29:32Z,"Priced at Rs 10.25 lakh, #Volkswagen launched a special edition of its #hatchback, #PoloLegend, to mark 12 years of the model in India. @volkswagenindia @VW @VWGroup  https://t.co/SJ0yiSs3vC",en,"['volkswagen', 'hatchback', 'pololegend']",[],https://twitter.com/ETPanache/status/1512377095690719235,['https://bit.ly/3jgwBAz'],[],0,1,0,1
8,1.51E+18,carandbike,India,1.6494E+12,2022-04-08T14:58:31Z,"Sponsored: The Volkswagen Taigun has much to marvel on! Volkswagen sets a fine precedent for all its vehicles and the Taigun is no different. But global standards aside this SUV is also made-in-India, making it fine-tuned for our roads. Find more on our website!  https://t.co/RGM9YUzJnB",en,[],[],https://twitter.com/carandbike/status/1512323987937890304,[],[],1,1513,9,80
9,1.51E+18,xoxoLizza,France,1.64936E+12,2022-04-08T04:00:27Z,All Things #HISPZ14 - #Hispanicize is out!  https://t.co/Jz538OVf2L Stories via @HispanicPR #volkswagen #carlilongoni,en,"['hispz14', 'hispanicize', 'volkswagen', 'carlilongoni']",[],https://twitter.com/xoxoLizza/status/1512158382765002770,['https://paper.li/xoxoLizza/1364896708?edition_id=5e9456a0-b6ad-11ec-8a51-fa163e65ae25'],[],0,0,0,0
