,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1512801663622471684,1512801663622471684,1649514997000.0,2022-04-09 22:36:37,+0800,,"⌚️ 46' | Bola rolando pra etapa complementar na Volkswagen Arena.  VAI PRA CIMA DELES, LOBOS! 🐺  #WOBDSC 2️⃣-0️⃣  🟢⚪️ #VfLWolfsburg  https://t.co/sOotE5Kxip",pt,"['wobdsc', 'vflwolfsburg']",[],809725711095308288,809725711095308288,VfLWolfsburg_PT,VfL Wolfsburg PT,6,22,https://twitter.com/VfLWolfsburg_PT/status/1512801663622471684,[],['https://pbs.twimg.com/tweet_video_thumb/FP6NFxZWUAggrWz.jpg'],1,https://pbs.twimg.com/tweet_video_thumb/FP6NFxZWUAggrWz.jpg,False,0,0,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
1,1512788781438586880,1512787848528805892,1649511926000.0,2022-04-09 21:45:26,+0800,,"⌚️ 11' | ÓTIMA JOGADA DOS LOBOS! 🐺👊🐺👊  Tudo começou na defesa com @LacroixMaxence e, numa rápida transição, @YannickGerhardt achou o artilheiro @LukasNmecha pra abrir o placar da partida na Volkswagen Arena!!!   #WOBDSC 1️⃣-0️⃣  🟢⚪️ #VfLWolfsburg  https://t.co/Y5zE4eygKJ",pt,"['wobdsc', 'vflwolfsburg']",[],809725711095308288,809725711095308288,VfLWolfsburg_PT,VfL Wolfsburg PT,6,21,https://twitter.com/VfLWolfsburg_PT/status/1512788781438586880,[],['https://pbs.twimg.com/media/FP6BYHDWUAkbRBx.jpg'],1,https://pbs.twimg.com/media/FP6BYHDWUAkbRBx.jpg,False,4,0,2,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
2,1512785104862597126,1512785104862597126,1649511049000.0,2022-04-09 21:30:49,+0800,,⏱️ 1' | KICKOFF 👟⚽️  And we're underway from the Volkswagen Arena!   HUGE match today! Come on Wolves! 🐺   #WOBDSC | 0-0   #VfLWolfsburg 🟢⚪️  https://t.co/YBPuU0udnd,en,"['wobdsc', 'vflwolfsburg']",[],2803299878,2803299878,VfLWolfsburg_EN,VfL Wolfsburg EN/US 🇬🇧 🇺🇸,6,21,https://twitter.com/VfLWolfsburg_EN/status/1512785104862597126,[],['https://pbs.twimg.com/media/FP58fJ8WQAQK8wN.jpg'],1,https://pbs.twimg.com/media/FP58fJ8WQAQK8wN.jpg,False,3,0,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
3,1512785030707306506,1512785030707306506,1649511032000.0,2022-04-09 21:30:32,+0800,,⌚️ 1' | Apito inicial na Volkswagen Arena. Daremos tudo pela vitória! 🐺👊  #WOBDSC 0️⃣-0️⃣  🟢⚪️ #VfLWolfsburg  https://t.co/VaHyEMYF7z,pt,"['wobdsc', 'vflwolfsburg']",[],809725711095308288,809725711095308288,VfLWolfsburg_PT,VfL Wolfsburg PT,6,21,https://twitter.com/VfLWolfsburg_PT/status/1512785030707306506,[],['https://pbs.twimg.com/media/FP599yjXMAEwaPH.jpg'],1,https://pbs.twimg.com/media/FP599yjXMAEwaPH.jpg,False,3,0,2,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
4,1512757161020907524,1512757161020907524,1649504387000.0,2022-04-09 19:39:47,+0800,,📢DÍA DE PARTIDO📢  🆚 @arminia  🏆 Bundesliga I Jornada 29  🏟️ Volkswagen Arena ⏰ 8:30 🇲🇽🇵🇪I 9:30 🇨🇱🇻🇪 I 10:30 🇦🇷  📺 @SKYSportsMX   #VfLWolfsburg #WOBDSC  https://t.co/KIQniXiBUK,ca,"['vflwolfsburg', 'wobdsc']",[],809725295741861888,809725295741861888,VfLWolfsburg_ES,VfL Wolfsburg ES,6,19,https://twitter.com/VfLWolfsburg_ES/status/1512757161020907524,[],['https://pbs.twimg.com/media/FP5jp5-XoAAjRY5.jpg'],1,https://pbs.twimg.com/media/FP5jp5-XoAAjRY5.jpg,False,5,0,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
5,1512751669511139337,1512751669511139337,1649503078000.0,2022-04-09 19:17:58,+0800,,Trauer bei Volkswagen: Legendäre Golf GTI Designerin in Hamburg gestorben  https://t.co/zBcvlBIOv9  https://t.co/yWRJqdqiPQ,de,[],[],18673738,18673738,abendblatt,Hamburger Abendblatt,6,19,https://twitter.com/abendblatt/status/1512751669511139337,['https://www.abendblatt.de/hamburg/article235044745/golf-gti-karomuster-legendaere-golfball-schaltknauf-designerin-gunhild-lijequist-in-hamburg-gestorben-volkswagen.html?utm_term=Autofeed&utm_campaign=HA&utm_medium=Social&utm_source=Twitter#Echobox=1649503012'],['https://pbs.twimg.com/media/FP5foGCXEAA6nAE.jpg'],1,https://pbs.twimg.com/media/FP5foGCXEAA6nAE.jpg,False,1,0,1,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
6,1512751661743280132,1512751661743280132,1649503076000.0,2022-04-09 19:17:56,+0800,,𝗘𝗠 𝗕𝗨𝗦𝗖𝗔 𝗗𝗢𝗦 𝗧𝗥𝗘̂𝗦 𝗣𝗢𝗡𝗧𝗢𝗦! 🐺  🏆 Bundesliga - 29ª Rodada  🆚 @Arminia  🏟 Volkswagen Arena 🇧🇷 10h30 (Brasília) | @OneFootball 🇵🇹 14h30 (Lisboa) | @ElevenSports_PT  🟢⚪️ #VfLWolfsburg #WOBDSC  https://t.co/VrZZ6ywCFC,pt,"['vflwolfsburg', 'wobdsc']",[],809725711095308288,809725711095308288,VfLWolfsburg_PT,VfL Wolfsburg PT,6,19,https://twitter.com/VfLWolfsburg_PT/status/1512751661743280132,[],['https://pbs.twimg.com/media/FP5fndRXsAUW9FX.jpg'],1,https://pbs.twimg.com/media/FP5fndRXsAUW9FX.jpg,False,4,1,1,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
7,1512732581111939074,1512732581111939074,1649498527000.0,2022-04-09 18:02:07,+0800,,ID. Software 3.0: Update auf neuen Software-Meilenstein für VWs ID-Modelle (Update 1)  https://t.co/wbEsdETkMT #Volkswagen #ID #Update,de,"['volkswagen', 'id', 'update']",[],35813952,35813952,ComputerBase,ComputerBase 🕊️,6,18,https://twitter.com/ComputerBase/status/1512732581111939074,['https://www.computerbase.de/2022-03/id.-software-3.0-update-auf-neuen-software-meilenstein-fuer-vws-id-modelle/#update-2022-04-09T12:02'],[],0,,False,2,0,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
8,1512701852009308165,1512701852009308165,1649491200000.0,2022-04-09 16:00:00,+0800,,Audi und Porsche haben eine Hürde für einen möglichen Einstieg in die Formel 1 ab 2026 genommen. Der Aufsichtsrat der Volkswagen AG bestätigt die Pläne der beiden Konzernmarken. Eine endgültige Entscheidung ist aber noch nicht gefallen.   https://t.co/BH48GpqYSg,de,[],[],1094919628097290240,1094919628097290240,TRTDeutsch,TRT Deutsch,6,16,https://twitter.com/TRTDeutsch/status/1512701852009308165,['https://www.trtdeutsch.com/sport/volkswagen-bestatigt-plane-von-audi-und-porsche-fur-formel-1-einstieg-8479282'],[],0,,False,0,0,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
9,1512532271760355329,1512532271760355329,1649450769000.0,2022-04-09 04:46:09,+0800,,Hoje foi dia de treinamento. Estamos preparados para receber o @Arminia na Volkswagen Arena. 🐺💪  🟢⚪️ #VfLWolfsburg #WOBDSC  https://t.co/5WankjejsB,pt,"['vflwolfsburg', 'wobdsc']",[],809725711095308288,809725711095308288,VfLWolfsburg_PT,VfL Wolfsburg PT,6,04,https://twitter.com/VfLWolfsburg_PT/status/1512532271760355329,[],"['https://pbs.twimg.com/media/FP2YFLPXMAEW4aU.jpg', 'https://pbs.twimg.com/media/FP2YFL7X0AISSx8.jpg', 'https://pbs.twimg.com/media/FP2YFMCX0AAy4rM.jpg', 'https://pbs.twimg.com/media/FP2YFMNXoAMGpCC.jpg']",1,https://pbs.twimg.com/media/FP2YFLPXMAEW4aU.jpg,False,3,0,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
10,1512403296832602118,1512403296832602118,1649420019000.0,2022-04-08 20:13:39,+0800,,#Volkswagen looking to secure more EV #battery production in the U.S.  https://t.co/6JI7ERBte6 via @business @MonicaRaymunt @mattmiller1973,en,"['volkswagen', 'battery']",[],601939972,601939972,nicola_news,Stefan Nicola,5,20,https://twitter.com/nicola_news/status/1512403296832602118,['https://www.bloomberg.com/news/articles/2022-04-07/volkswagen-scouts-for-more-u-s-battery-output-for-ev-push?sref=dTvjYH8K'],[],0,,False,2,0,2,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
11,1512195894988492801,1512195894988492801,1649370571000.0,2022-04-08 06:29:31,+0800,,Volkswagen bestätigt Pläne von Audi und Porsche für Formel-1-Einstieg  https://t.co/H8V216kRfr  https://t.co/laICAQRfW6,de,[],[],8720562,8720562,welt,WELT,5,06,https://twitter.com/welt/status/1512195894988492801,['http://to.welt.de/M1MRLNM'],['https://pbs.twimg.com/media/FPxmJzBX0AAp1QH.jpg'],1,https://pbs.twimg.com/media/FPxmJzBX0AAp1QH.jpg,False,12,5,1,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
12,1512162323116576777,1512162323116576777,1649362567000.0,2022-04-08 04:16:07,+0800,,"Der Autohersteller Volkswagen bestätigt die Pläne der beiden Konzerntöchter, Audi und Porsche, in die Formel 1 einzusteigen.  https://t.co/akrWU5mvxi",de,[],[],3344215161,3344215161,BIDeutschland,Business Insider 🇩🇪,5,04,https://twitter.com/BIDeutschland/status/1512162323116576777,['https://zpr.io/fSFRRPmBGwyK'],[],0,,False,2,1,0,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
13,1512074833315520516,1512074833315520516,1649341707000.0,2022-04-07 22:28:27,+0800,,🔥 @ChattanoogaFC will have Volkswagen as Premier Kit Sponsor for 2022 🔥,en,[],[],2803299878,2803299878,VfLWolfsburg_EN,VfL Wolfsburg EN/US 🇬🇧 🇺🇸,4,22,https://twitter.com/VfLWolfsburg_EN/status/1512074833315520516,[],[],0,,False,46,0,5,https://twitter.com/ChattanoogaFC/status/1511828781366976520,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
14,1511992179178283011,1511992179178283011,1649322001000.0,2022-04-07 17:00:01,+0800,,"Carsharing is booming, especially in big cities. One of the major providers in Germany is @WeShare_DE, with all-electric models or our Volkswagen ID. family.   We share tips on getting the most out of carsharing 🚗.  Click below. 👇",en,[],[],3021568204,3021568204,volkswagen,Volkswagen News,4,17,https://twitter.com/volkswagen/status/1511992179178283011,[],[],0,,False,200,13,14,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
15,1511965935980236801,1511964716687572993,1649315744000.0,2022-04-07 15:15:44,+0800,,"@JustinKraft_ Die beiden Hauptsponsoren des DFB sind adidas und Volkswagen. Die einen sind Partner der Fifa, die anderen gehören zu 17% dem katarischen Staatsfond. Tja.",de,[],[],39356720,39356720,TobiasEscher,Tobias Escher,4,15,https://twitter.com/TobiasEscher/status/1511965935980236801,[],[],0,,False,186,4,4,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,"[{'screen_name': 'JustinKraft_', 'name': 'Justin Kraft 🏳️\u200d🌈💙💛', 'id': '2639221563'}]",,,,
16,1511778199407144960,1511778199407144960,1649270984000.0,2022-04-07 02:49:44,+0800,,".@BBC_TopGear Electric Awards 2022: Our #VWIDBuzz has been named Electric Car of the Year!  ""Bold, brave, beautiful – and a beacon of joy – that’s but a few of the charming attributes the jury had in store for the Volkswagen ID. Buzz”, says our CEO Ralf Brandstätter on @LinkedIn.",en,['vwidbuzz'],[],3021568204,3021568204,volkswagen,Volkswagen News,4,02,https://twitter.com/volkswagen/status/1511778199407144960,[],[],0,,False,80,6,12,,volkswagen OR Volkswagen,,"52.520008,13.404954,500km",,,,,[],,,,
